accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.802854245664109345e-03,-4.290773637270176195e-03,-9.797626818088092548e+00
2.746099891278312114e-03,-1.317489403723538354e-03,-9.790211430740173526e+00
3.074636140982053237e-03,2.607502762739049695e-03,-9.797062090576689641e+00
-3.515090540740973928e-03,-1.123767323642594143e-02,-9.794259048408752832e+00
2.817787082454576569e-03,1.629262091913816430e-03,-9.804256682451100602e+00
-3.312804108103992260e-03,-1.165710020313999104e-02,-9.797561212326710844e+00
3.201056610191368654e-03,-2.979003861893239971e-03,-9.802990056213589654e+00
-6.306604289193997901e-04,-3.434615878987761720e-03,-9.792638965460460199e+00
3.788064993178744870e-05,-6.946716724551052317e-03,-9.783492926542706414e+00
3.149963533232063087e-03,-4.423227091501667416e-04,-9.793273922451257718e+00
-2.458508451560609959e-03,-7.396119869837981635e-03,-9.788372303527657081e+00
-4.137839101600154432e-03,-8.962953829961423438e-03,-9.792751044746960787e+00
-2.333692370663666919e-03,-1.870814071403122114e-02,-9.790423444779598583e+00
-2.590350686771462994e-03,-9.807052000489332663e-03,-9.799185702376094653e+00
3.889121637625907960e-03,-8.341680279219096383e-03,-9.792707762232268465e+00
-3.030434465689214006e-04,-8.597815299027623814e-03,-9.797011437537502587e+00
-1.924946089284419347e-03,-2.044134860462621869e-02,-9.789693956695796118e+00
1.590683429126369926e-03,-1.215466672111695581e-02,-9.794485625894886027e+00
-3.934866670331876350e-03,-1.350825496510367485e-02,-9.799741150517753852e+00
4.111405942994394644e-03,-2.290779472241222248e-02,-9.788033423352244355e+00
3.925604972758964598e-03,-2.525041444706153590e-02,-9.790137090735035130e+00
8.152796633733744650e-03,-2.364694135145857523e-02,-9.787745103132634128e+00
-1.858555493940333746e-03,-3.016893787800385696e-02,-9.803349251427420086e+00
-3.065559407759878199e-03,-2.147787578272650905e-02,-9.795748269657783780e+00
4.068671794680231608e-03,-2.562173872155752707e-02,-9.801774927407272742e+00
-1.792156794700723024e-03,-2.669979531219831767e-02,-9.798617058347556252e+00
-4.578179783435835232e-03,-3.621487013009115630e-02,-9.793110770935092191e+00
-8.761799760504065558e-04,-3.712677068180623985e-02,-9.793125042455566032e+00
-1.086192627464838655e-02,-3.027814981347818832e-02,-9.794186190894471622e+00
3.696024519755816522e-04,-2.998865498910067290e-02,-9.799834945370971440e+00
1.400735026559501084e-03,-3.869080152842795106e-02,-9.789187720207747745e+00
-7.521549234766167213e-03,-4.620501273476819437e-02,-9.795609630559555470e+00
-5.071489503662426207e-03,-3.780832597213409224e-02,-9.789812145834485335e+00
9.106789463015040054e-03,-4.948485404848390612e-02,-9.787376049596504757e+00
6.610910228645915793e-03,-4.137063655196406703e-02,-9.792860298220412929e+00
2.833188678669608298e-03,-5.087683843204288126e-02,-9.798408303722052182e+00
2.462207292233322721e-03,-4.022371312607780913e-02,-9.798260070150933032e+00
-4.401929209033303425e-03,-4.118557030327972546e-02,-9.798440046817233906e+00
-3.956287056364350533e-04,-5.227111268331050692e-02,-9.794083653715169646e+00
3.529876885749802864e-03,-4.646369884344734441e-02,-9.791727304367926266e+00
5.372063719714148712e-05,-4.109646931824501026e-02,-9.797049584537015576e+00
-1.602551950364741783e-03,-4.926406123025657557e-02,-9.802030645447668888e+00
-6.574812184518456261e-03,-5.509929514285043239e-02,-9.793734638266711201e+00
3.823090623194533213e-03,-6.255137137454296059e-02,-9.799371663658396514e+00
-3.106988981963572719e-03,-5.923773773990968078e-02,-9.796088422252523742e+00
4.089551081336143847e-03,-6.981759106939378068e-02,-9.800353586793903560e+00
6.675234928315742361e-03,-6.684603614147378858e-02,-9.790777109188478988e+00
-3.217742862652078241e-03,-6.912394975696072030e-02,-9.787467164328237601e+00
-6.017911235194665746e-03,-7.051648067524982078e-02,-9.792216289932223816e+00
-2.849555562154796381e-03,-6.694784068896210416e-02,-9.799314486343991604e+00
2.706104356505575469e-03,-6.283549794530825239e-02,-9.796156946759042583e+00
-8.114008922412782251e-03,-8.222810007048453329e-02,-9.790659499294878998e+00
8.326476311750652393e-03,-6.909909827802024340e-02,-9.795131203273770737e+00
3.688992115116665319e-04,-6.976369564696123515e-02,-9.797430282008081193e+00
1.950684477045900667e-03,-8.339719682036081383e-02,-9.793503010584691637e+00
2.578374816136530024e-04,-8.135908132056014763e-02,-9.792438251002465677e+00
-9.173603304745189813e-03,-6.957082323467678187e-02,-9.792355435350653892e+00
-1.246654659283908968e-03,-8.007282616996519442e-02,-9.792195105201656702e+00
-2.863842364700394140e-03,-8.276017264164174658e-02,-9.795118694572270357e+00
-1.996274041213481117e-03,-8.802832799976283151e-02,-9.796996405225147697e+00
2.083283632407736865e-03,-9.323715839980249720e-02,-9.792361750700749212e+00
7.639703287177163418e-03,-8.789865796889909100e-02,-9.790536797223426291e+00
-1.938573254446100767e-03,-8.679806799559235120e-02,-9.794087078642697008e+00
-9.180042033285184741e-03,-8.796056633185740659e-02,-9.793788464947752459e+00
8.748351171356044339e-05,-9.152591109697535976e-02,-9.788607084434095995e+00
-3.502458532577742284e-03,-9.203108121597476654e-02,-9.797719953033984908e+00
-1.314549028806686129e-03,-9.792428212095011242e-02,-9.786118149540493860e+00
-6.732525071230669421e-03,-1.093220945368043040e-01,-9.798882504647455249e+00
1.717317518746034081e-03,-1.039585274288310074e-01,-9.790669824838088786e+00
-3.223071423347627449e-03,-9.971765729515875976e-02,-9.794428098045676379e+00
-5.975156637673304481e-03,-1.042214925486638910e-01,-9.789116000790762939e+00
8.750131378877798460e-03,-1.073348560771793803e-01,-9.798247741564663826e+00
-2.607279942010527415e-03,-1.021461409089716721e-01,-9.800255480701348887e+00
3.644401049818473369e-03,-1.114986788210904772e-01,-9.783218526151699734e+00
1.517687222778215132e-03,-1.099942465216379311e-01,-9.793814215451995153e+00
4.050530510635592073e-03,-1.131569380658765528e-01,-9.791893820628020606e+00
1.102169850741386257e-03,-1.168059711607273704e-01,-9.805450319397673198e+00
-3.337284346634944096e-03,-1.206411105057498268e-01,-9.783856051097759021e+00
-1.335931057204613279e-03,-1.203671846106162957e-01,-9.796916422641427147e+00
-6.205659057836974014e-04,-1.141890669791460894e-01,-9.793046464371334636e+00
-2.097642993780729839e-03,-1.182848780529501959e-01,-9.797858826614623595e+00
5.656976079545578649e-03,-1.266081848765491791e-01,-9.788045424955670981e+00
-4.430985441976744506e-04,-1.245563326173312751e-01,-9.788589605409830696e+00
-9.921610720538083170e-04,-1.301395029472618703e-01,-9.795038663707083870e+00
-7.115264882495047141e-04,-1.303887280717922481e-01,-9.782071328924569542e+00
-3.399222860965208336e-03,-1.201301523317085673e-01,-9.805116939350694949e+00
-3.163998397484440658e-03,-1.362416134499008780e-01,-9.796931844485568419e+00
9.131427830765760558e-04,-1.410527802904081862e-01,-9.792647934931018483e+00
5.452393858218479612e-03,-1.375583029105067467e-01,-9.791492123281296145e+00
3.243240790057366416e-03,-1.376540209957885508e-01,-9.792043475448554801e+00
6.476465753306931417e-03,-1.347694351757064146e-01,-9.798766570692231781e+00
1.876575570125042997e-03,-1.436581415388981098e-01,-9.793214075705529709e+00
4.691112787383011108e-03,-1.431379983415008161e-01,-9.786496516608277574e+00
