gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.044998525843105952e+01,1.144699219488204420e+02,7.750447163489051050e+00,-4.865264670118912838e-02,-1.523872703598751210e-02,-1.292165007443523209e-02
3.044998520683279253e+01,1.144700398083887194e+02,1.288455136405632029e+00,4.742112095782907710e-02,-2.474593453386707623e-02,1.861431545758588171e-02
3.045008261329289567e+01,1.144700665395316292e+02,4.918876837742727659e+00,-1.260809150224244737e-02,-7.749392076583211386e-02,-5.969140567307338469e-02
3.044993595266434028e+01,1.144700530633815845e+02,-2.575387174411094104e+00,-2.094992271519494423e-02,7.931821064194844676e-04,-1.451650652094925442e-02
3.045005843868144879e+01,1.144699208198349965e+02,1.669321679422393601e+01,-4.502924887363416590e-02,-6.863673062664010956e-03,-8.799489174232897823e-03
3.045004836115909086e+01,1.144700146056604808e+02,-2.677190169584255930e+00,9.130229960772303852e-03,2.827527651782644341e-02,1.251175667567963438e-02
3.045002463074429144e+01,1.144699061212590294e+02,-3.329234025291065713e+00,-3.173466027467480161e-02,-2.363007128729818773e-02,-7.458889851370291424e-02
3.044996859688468049e+01,1.144699648774927141e+02,1.206337935190683197e+01,-2.202507836708136879e-02,-2.220157871044370346e-02,3.730588995523473339e-02
3.044995407387721542e+01,1.144698979002085366e+02,-2.139928212005319352e+01,-6.244675846372561845e-02,5.434964161565730006e-02,4.829787045236141191e-02
3.044995656977447496e+01,1.144699507804828187e+02,1.321191138038891211e+00,3.276014344955911067e-02,-4.160535639870956148e-02,3.691979607314799239e-02
3.045001369545461856e+01,1.144699804925106150e+02,-7.353646775469023567e+00,8.568749438622502712e-02,-9.992750412263814996e-03,-4.731405950495129464e-02
3.044998689403784908e+01,1.144699876407746473e+02,-1.039188978883919390e+01,7.805541763703777169e-02,4.584289555567024055e-02,1.155251377043888250e-01
3.044994175494873900e+01,1.144700147278870190e+02,-2.621686192381432967e+00,8.031800456965870749e-02,-5.072832029061911246e-02,-3.070940003863739665e-02
3.044992409665439226e+01,1.144699624701651146e+02,1.182564383657557894e+00,5.152645093301001789e-02,-8.813652062846637561e-03,-1.086368286053965015e-01
3.044992910307047396e+01,1.144700344210680498e+02,2.429999233232304767e-01,5.023564741628960828e-02,-8.269476492556114555e-02,-5.503650846872003982e-02
3.045003129157863242e+01,1.144699371575614748e+02,-9.379596671984868905e+00,-3.388818101175318596e-03,8.616023319414356507e-03,1.803093752914100220e-02
3.044998999442838183e+01,1.144699160747943978e+02,6.641383017400908528e+00,1.024976178381144937e-02,8.079040415649080265e-03,-6.514979197310631631e-02
3.045003026181854011e+01,1.144699215613376140e+02,7.782960386789584462e+00,-4.574695114257363443e-02,-4.450125833231129840e-02,-8.715358953221293004e-03
3.044997765055866168e+01,1.144701265952631104e+02,-7.078863806289274585e+00,2.437544676051518755e-02,-4.894385402948447233e-02,-1.802913167053299751e-02
3.044997510821411524e+01,1.144700362559863294e+02,-4.760578121213091762e+00,4.814791344957426722e-02,3.622185504614944956e-02,-6.637306720065515309e-02
3.045006094123047546e+01,1.144700694287557639e+02,4.964254505436049292e-01,-5.943047258159842722e-02,3.733569016565161519e-02,-3.591245503230797165e-02
3.044997226951357305e+01,1.144699453175555703e+02,-2.149315139202727210e+00,-2.818390025473076557e-02,6.450476844222950701e-02,1.085724215243938882e-02
3.045003636125068525e+01,1.144699836422406776e+02,-1.128461366088399842e+01,-4.012998573396767826e-02,-4.899828962096009627e-02,-6.848982314128315707e-02
3.045006322140610422e+01,1.144700620124174577e+02,-2.782765280444600364e+00,2.882133445420737711e-02,-6.598582821211722294e-02,6.988332333445872180e-02
3.044987467612930487e+01,1.144700223554293217e+02,5.671034113206889771e+00,7.512238229580740778e-02,7.690390185078277430e-02,3.166565387089070177e-02
3.045000365405604015e+01,1.144699630846847924e+02,-2.871852665630655110e+00,3.675446829769302842e-02,-1.321478273313593001e-02,-4.991113954971398980e-02
3.044998326558725665e+01,1.144699845142976500e+02,-8.517671502567537800e+00,1.624377029189738031e-01,-3.466036630132902224e-02,2.183383856688695182e-02
3.044992935132614420e+01,1.144700430254959684e+02,-6.277650233661986157e+00,-6.583181851723314722e-03,-1.271445223902814836e-01,-8.439447928174324820e-02
3.044997954165533827e+01,1.144700406671166917e+02,-7.907025167557973910e-01,-1.757131214419295137e-02,1.818042765926202245e-02,-6.876908520270298697e-02
3.044999163262189157e+01,1.144700292462493252e+02,-9.701092328970969403e-01,7.070754692813271654e-04,-3.660757291019105242e-02,7.132926855491827922e-02
3.045001971028386478e+01,1.144699835923414213e+02,-1.129821401613748399e+01,4.010646209191806588e-02,9.659489303664708926e-02,-1.297718122046891479e-03
3.045003110882078090e+01,1.144700142638144058e+02,-3.844339225650129643e-01,4.298680243931435330e-02,4.062138013851734897e-02,-5.176335059629422718e-03
3.045011532582850577e+01,1.144700727027381362e+02,-3.578106310106618171e+00,-2.283350478046401386e-02,3.835414914595600307e-03,-4.931212254582595378e-02
3.045002715927205728e+01,1.144700371876104725e+02,1.113791588460361126e+01,3.118056924324092566e-02,8.323290026378606099e-02,-1.388986248668029090e-02
3.044994261107156319e+01,1.144699432009027902e+02,2.617247253785985883e+00,5.802209476058246438e-04,-1.582597996844805829e-02,-4.672978236149300663e-02
3.045003750068432424e+01,1.144699339481737184e+02,-4.559021779336614344e+00,3.184867740913932543e-02,4.473577780444357166e-02,2.008290640359063073e-02
3.044997723775957255e+01,1.144699185504077974e+02,-5.921368241949856781e+00,-1.122313780641191056e-02,2.014991869351800274e-02,-5.843128313017634939e-02
3.045003497641585000e+01,1.144699158663934782e+02,8.163867956642041790e+00,-6.118689453859741528e-02,-5.364303827552587001e-02,1.191390688514549698e-02
3.044986722952646119e+01,1.144700391025609605e+02,3.766093244650184912e-01,3.820506796705037955e-02,-3.811861850381360883e-02,2.093465592083517887e-02
3.045004488592051572e+01,1.144698961072753320e+02,4.438510423297659102e+00,9.838804963001244325e-03,1.095349526537498126e-02,-7.345511604335468181e-02
3.044993494478104523e+01,1.144699143440388411e+02,7.801632356315251648e+00,1.455878737406876913e-02,2.567187360304371696e-02,5.766320386328945002e-02
