gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.005623503593587043e-01,5.691857878914748960e-03,1.921404219696910831e-02
1.654374281504143174e-01,-5.699498172533519480e-03,-8.097124940274914862e-02
3.106421544017658465e-01,-3.835723649350877840e-02,-6.348072635572264699e-02
3.027918166700922509e-01,4.557200430277780212e-02,1.997820644060819412e-02
4.095727287264043226e-01,5.588896692276326857e-03,-1.265632187232592319e-02
4.775460233391903286e-01,5.016287268780247888e-02,-2.677872154357437487e-02
4.621143961194549843e-01,1.388292354369927151e-02,1.054423568615565562e-02
5.753183337569677258e-01,-3.174238207847721732e-02,-2.562462029982819339e-03
5.614044959879417318e-01,-3.834493776514914798e-02,5.089827680150856015e-02
6.393839442625705027e-01,4.182230672318635982e-03,4.248349080595788252e-02
6.621180294797682775e-01,6.032794579615649057e-04,-7.821276039643440536e-02
7.628156340977960692e-01,-3.487068696235804538e-02,-4.583711274319350951e-03
7.991120996087621720e-01,3.247711155012286688e-02,-3.321299309952129714e-02
7.689851239147642570e-01,2.677688703895089034e-02,2.720523220727606023e-02
7.707825188136161465e-01,5.313588440926077239e-02,-3.645758490206903873e-02
8.119122064980263120e-01,3.515262733136616247e-02,3.066451688575709891e-02
8.587658938512635620e-01,-2.493294281227701956e-02,2.921745240777050626e-02
8.632096256712015192e-01,-2.990190168580444952e-02,-1.747985083731273728e-03
8.241836251221051901e-01,-7.635185269124990584e-03,-2.191079853000661021e-02
9.024168079888715832e-01,1.176079865947099110e-02,-6.360559911178285605e-03
9.112059260135002559e-01,-7.462650337790259492e-02,-4.775958955077511114e-02
9.368260707682909416e-01,-2.498130435577268493e-02,2.945765896058720815e-02
9.077042455656593178e-01,2.889064840527161976e-02,-4.294260019824117786e-02
9.193515851855380561e-01,-6.775586532322000477e-02,4.447393505682178429e-03
1.009897074985951049e+00,-9.315968653897779839e-02,-1.884957940701428164e-02
9.980876880347631097e-01,-6.546997548166885728e-02,-7.121164188008725915e-02
9.815489480937265032e-01,-1.452374430876147982e-02,-4.326978859279700246e-02
9.506899484592583605e-01,1.275263551808615385e-02,7.266436586129214857e-03
9.152159821324580280e-01,7.647855207653936338e-02,-2.940218261524106189e-02
1.023076021165688410e+00,1.004448855170869265e-01,-6.459888550673370533e-02
9.347911759937571619e-01,-4.040500478389589915e-03,7.559181073811040499e-03
9.686105790473965582e-01,3.565501020358815415e-02,-4.197715686696397441e-02
9.209996550128437542e-01,-2.264229429570219221e-02,3.477362962192551143e-02
1.012806660673474246e+00,2.529807184718227495e-03,3.619061603623054124e-02
9.870346830121689008e-01,-1.239377853679387610e-02,-1.164840657303040095e-02
9.611675273717525947e-01,1.945004030473775070e-02,1.808221700033454254e-02
9.829100281465321665e-01,-9.968466216292399401e-03,4.735181407414478655e-02
1.018952141590347971e+00,2.438613119228186243e-02,4.716912164464862056e-02
1.012032530955156995e+00,-4.837599813097068907e-02,4.270492827166955108e-02
9.841363270577679900e-01,-2.479879427411311663e-02,-2.860554808663027734e-02
1.002035360809049314e+00,-7.800221850663105472e-03,-6.944118421433813360e-02
1.041518380477957306e+00,2.168686803988268547e-02,2.784605131524640897e-03
1.003695701247254490e+00,-5.481915507532679477e-02,2.314122276029460107e-02
9.919436489917409228e-01,-2.481355620510719215e-02,-4.226677214130262344e-02
1.004205807282408491e+00,2.180530022925266861e-02,-2.574952376739808244e-02
1.010089436273830188e+00,7.561737947326492223e-03,6.990208816992637963e-02
1.013421260474323571e+00,2.425304294736463362e-02,-4.287977574963898475e-02
9.795673213307526384e-01,1.862699893615426400e-02,-4.908020959265890076e-02
1.013201815112378501e+00,-6.330720283646002269e-03,-6.878111504370645890e-02
9.355885655382424337e-01,-1.146000195390335825e-02,-5.506943460968096588e-02
9.383091089505493088e-01,-8.970486626508197489e-03,1.946293330585609216e-02
1.019786778260603155e+00,4.545721540535612587e-02,6.797635947001161305e-02
1.040652765524015866e+00,2.089906352907213924e-02,-2.332794325045955009e-03
9.966964046930611998e-01,-1.022666886905652939e-02,-6.401310929227334301e-02
9.004517223609881382e-01,2.363395453443170938e-02,1.034073757289612205e-02
9.589061111235978041e-01,1.851806717522865020e-02,-5.026730165882768719e-02
1.007475757261526939e+00,6.604219576584714757e-02,-6.174471603880593053e-03
1.001414561230691946e+00,1.770557283150279992e-02,-4.612678805410068417e-02
1.039637291337003777e+00,-8.604643843489072352e-03,3.675273596338859972e-03
1.007393098366151873e+00,9.146343427134426274e-02,-3.072039879224234063e-02
1.072172885378739782e+00,-4.933421384007627419e-02,4.895853682484509195e-02
1.095146354058850857e+00,-4.730822572973352597e-02,-5.379341887227680197e-02
9.508685368829703499e-01,1.966469323896269383e-02,-5.417396457403581000e-02
1.013227679411308424e+00,6.859470517555346127e-03,1.351147916637720353e-02
9.877163245995173035e-01,1.033887313262376803e-02,5.846467290584873161e-02
9.901102926596149212e-01,8.868336740868126497e-03,2.829179736903961531e-02
1.052089589966722416e+00,1.557112027083146222e-02,-2.751203644658819017e-02
1.034033567766576400e+00,-2.472385024849880000e-02,-5.673625642013750171e-03
