ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,0.000000000000000000e+00,-9.793600816314521396e+00
0.000000000000000000e+00,-1.709305798620147057e-04,-9.793600814822870149e+00
0.000000000000000000e+00,-4.956986814133594772e-04,-9.793600803769738405e+00
0.000000000000000000e+00,-9.589205515423991416e-04,-9.793600769369140480e+00
0.000000000000000000e+00,-1.546750810819690633e-03,-9.793600694171598064e+00
0.000000000000000000e+00,-2.246728615171585900e-03,-9.793600558605961126e+00
0.000000000000000000e+00,-3.047639201427205635e-03,-9.793600342121980162e+00
0.000000000000000000e+00,-3.939389278417216103e-03,-9.793600024022246942e+00
0.000000000000000000e+00,-4.912894879097003641e-03,-9.793599584053882978e+00
0.000000000000000000e+00,-5.959980427596642261e-03,-9.793599002815550847e+00
0.000000000000000000e+00,-7.073287899696701839e-03,-9.793598262023756718e+00
0.000000000000000000e+00,-8.246195067372442261e-03,-9.793597344672864580e+00
0.000000000000000000e+00,-9.472741918981947631e-03,-9.793596235115932913e+00
0.000000000000000000e+00,-1.074756443751606443e-02,-9.793594919087430739e+00
0.000000000000000000e+00,-1.206583500108729910e-02,-9.793593383684161324e+00
0.000000000000000000e+00,-1.342320874341900588e-02,-9.793591617317085607e+00
0.000000000000000000e+00,-1.481577527832214462e-02,-9.793589609643614580e+00
0.000000000000000000e+00,-1.624001525175029076e-02,-9.793587351487762049e+00
0.000000000000000000e+00,-1.769276123866648023e-02,-9.793584834753627177e+00
0.000000000000000000e+00,-1.917116255023388824e-02,-9.793582052336262223e+00
0.000000000000000000e+00,-2.067265356029267254e-02,-9.793578998032907990e+00
0.000000000000000000e+00,-2.219492519919030390e-02,-9.793575666456652229e+00
0.000000000000000000e+00,-2.373589929822714911e-02,-9.793572052953965823e+00
0.000000000000000000e+00,-2.529370549965367226e-02,-9.793568153527015596e+00
0.000000000000000000e+00,-2.686666047566260707e-02,-9.793563964761313301e+00
0.000000000000000000e+00,-2.845324922547584276e-02,-9.793559483758954798e+00
0.000000000000000000e+00,-3.005210824271595943e-02,-9.793554708077483184e+00
0.000000000000000000e+00,-3.166201036603390889e-02,-9.793549635674290599e+00
0.000000000000000000e+00,-3.328185114466718220e-02,-9.793544264856356207e+00
0.000000000000000000e+00,-3.491063656743566973e-02,-9.793538594235023709e+00
0.000000000000000000e+00,-3.654747201883185720e-02,-9.793532622685518163e+00
0.000000000000000000e+00,-3.819155233949617090e-02,-9.793526349310873513e+00
0.000000000000000000e+00,-3.984215288063953919e-02,-9.793519773409880003e+00
0.000000000000000000e+00,-4.149862145301883021e-02,-9.793512894448751283e+00
0.000000000000000000e+00,-4.316037108101030556e-02,-9.793505712036145283e+00
0.000000000000000000e+00,-4.482687348127186583e-02,-9.793498225901220877e+00
0.000000000000000000e+00,-4.649765319353543064e-02,-9.793490435874430133e+00
0.000000000000000000e+00,-4.817228229831701375e-02,-9.793482341870772601e+00
0.000000000000000000e+00,-4.985037566285301092e-02,-9.793473943875213195e+00
0.000000000000000000e+00,-5.153158666244035679e-02,-9.793465241930075393e+00
0.000000000000000000e+00,-5.321560332964063444e-02,-9.793456236124136183e+00
0.000000000000000000e+00,-5.490214488856189762e-02,-9.793446926583259327e+00
0.000000000000000000e+00,-5.659095863571059898e-02,-9.793437313462375116e+00
0.000000000000000000e+00,-5.828181713275715214e-02,-9.793427396938630736e+00
0.000000000000000000e+00,-5.997451568002355043e-02,-9.793417177205585133e+00
0.000000000000000000e+00,-6.166887004262135846e-02,-9.793406654468306272e+00
0.000000000000000000e+00,-6.336471440397498101e-02,-9.793395828939262415e+00
0.000000000000000000e+00,-6.506189952399192566e-02,-9.793384700834884882e+00
0.000000000000000000e+00,-6.676029108141535995e-02,-9.793373270372736528e+00
0.000000000000000000e+00,-6.845976818194103586e-02,-9.793361537769191827e+00
0.000000000000000000e+00,-7.016022201552200854e-02,-9.793349503237550380e+00
0.000000000000000000e+00,-7.186155464794262426e-02,-9.793337166986544773e+00
0.000000000000000000e+00,-7.356367793323476123e-02,-9.793324529219145091e+00
0.000000000000000000e+00,-7.526651253485226734e-02,-9.793311590131670741e+00
0.000000000000000000e+00,-7.696998704472786390e-02,-9.793298349913108325e+00
0.000000000000000000e+00,-7.867403719042410926e-02,-9.793284808744644465e+00
0.000000000000000000e+00,-8.037860512156930204e-02,-9.793270966799354937e+00
0.000000000000000000e+00,-8.208363876764954159e-02,-9.793256824242030589e+00
0.000000000000000000e+00,-8.378909126002181962e-02,-9.793242381229124049e+00
0.000000000000000000e+00,-8.549492041172557233e-02,-9.793227637908772820e+00
0.000000000000000000e+00,-8.720108824931312175e-02,-9.793212594420923622e+00
0.000000000000000000e+00,-8.890756059149713952e-02,-9.793197250897488715e+00
0.000000000000000000e+00,-9.061430666993337824e-02,-9.793181607462571492e+00
