q0 (),q1,q2,q3
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999999619227919e-01,8.726646259860885115e-06,0.000000000000000000e+00,0.000000000000000000e+00
9.999999996797709345e-01,2.530727415121640069e-05,0.000000000000000000e+00,0.000000000000000000e+00
9.999999988016312624e-01,4.895648549888496068e-05,0.000000000000000000e+00,0.000000000000000000e+00
9.999999968820730833e-01,7.896742192441187657e-05,0.000000000000000000e+00,0.000000000000000000e+00
9.999999934215063613e-01,1.147039108541669962e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999999878953473864e-01,1.555933969271525088e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999999797752558983e-01,2.011205802633892034e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999999685442392261e-01,2.508216909071780162e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999999537070418665e-01,3.042793358278109454e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999999347969430463e-01,3.611178612218805318e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999999113798418993e-01,4.209991785868389194e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999998830563205932e-01,4.836190081884563343e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999998494622241996e-01,5.487034981825623632e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999998102681739720e-01,6.160061818254298181e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999997651783371078e-01,6.853052389637471044e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999997139286989078e-01,7.564010313760605739e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999996562850240744e-01,8.291138845804021202e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999995920406483663e-01,9.032820914613753005e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999995210142034185e-01,9.787601155346688144e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.999994430473505558e-01,1.055416973885182994e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999993580025769990e-01,1.133134781811360276e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999992657610909941e-01,1.211807443005060662e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999991662208380649e-01,1.291339470713399971e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999990592946549350e-01,1.371644926784336329e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999989449085646687e-01,1.452646466807623084e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999988230002162526e-01,1.534274480741577157e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999986935174655089e-01,1.616466319477089311e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999985564170920105e-01,1.699165598745144270e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999984116636444487e-01,1.782321572633507357e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999982592284074601e-01,1.865888569751664693e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999980990884808074e-01,1.949825485779194513e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999979312259609232e-01,2.034095326759235208e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999977556272181545e-01,2.118664798062543705e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999975722822584956e-01,2.203503934455091316e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999973811841640359e-01,2.288585767158851300e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999971823286023520e-01,2.373886024206460152e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999969757133989612e-01,2.459382860760375711e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999967613381651743e-01,2.545056616400080251e-03,0.000000000000000000e+00,0.000000000000000000e+00
