ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.045000000000000284e+01,1.144699999999999989e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045000373443562225e+01,1.144699999999999989e+02,0.000000000000000000e+00,9.100023905258995960e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.045001640807322474e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.910000000063495795e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045003810208971018e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.910000000000002807e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045006881648715336e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.909999999999981490e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045010855126541927e+01,1.144699999999999989e+02,0.000000000000000000e+00,4.909999999999960174e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045015730642434448e+01,1.144699999999999989e+02,0.000000000000000000e+00,5.909999999999938858e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045021508196372650e+01,1.144699999999999989e+02,0.000000000000000000e+00,6.909999999999917542e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045028187788333085e+01,1.144699999999999989e+02,0.000000000000000000e+00,7.909999999999896225e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045035769418287330e+01,1.144699999999999989e+02,0.000000000000000000e+00,8.909999999999875797e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045044253086204478e+01,1.144699999999999989e+02,0.000000000000000000e+00,9.909999999999854481e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045053638792048289e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.090999999999983316e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045063926535781462e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.190999999999981185e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045075116317359942e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.290999999999979053e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045087208136738255e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.390999999999976922e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045100201993865596e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.490999999999974790e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045114097888688320e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.590999999999972658e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045128895821148518e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.690999999999986514e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045144595791184727e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.791000000000002146e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045161197798731934e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.891000000000017778e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045178701843721214e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.991000000000033410e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045197107926080093e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.091000000000049042e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045216416045731833e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.191000000000064674e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045236626202597208e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.291000000000080306e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045257738396590597e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.391000000000095937e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045279752627625669e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.491000000000111569e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045302668895610765e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.591000000000127201e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045326487200451027e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.691000000000142833e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045351207542046978e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.791000000000158465e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045376829920296302e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.891000000000174097e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045403354335092416e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.991000000000189729e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045430780786325897e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.091000000000205361e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045459109273882348e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.191000000000220993e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045488339797644173e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.291000000000204295e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045518472357490225e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.391000000000184400e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045549506953294738e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.491000000000164505e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045581443584930170e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.591000000000144610e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045614282252262939e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.691000000000124714e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045648022955156620e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.791000000000104819e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045682665693471591e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.891000000000084924e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045718210467064679e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.991000000000065029e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045754657275786670e+01,1.144699999999999989e+02,0.000000000000000000e+00,4.091000000000045134e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045792006119487283e+01,1.144699999999999989e+02,0.000000000000000000e+00,4.191000000000025238e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045830256998011620e+01,1.144699999999999989e+02,0.000000000000000000e+00,4.291000000000005343e+01,0.000000000000000000e+00,0.000000000000000000e+00
