ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.045000000000000284e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000000000000284e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000000009020980e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000000035179610e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000000085784109e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000000167409127e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000000285973840e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000000446805188e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000000654695071e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000000913959326e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000001228480357e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000001601753681e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000002036923448e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000002536820816e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000003103993080e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000003740733874e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000004449106257e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000005230967588e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000006087989064e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000007021675259e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000008033380112e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000009124321849e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000010295598258e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000011548194863e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000012883000551e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000014300814684e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000015802357041e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000017388275282e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000019059151697e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000020815511022e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000022657825767e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000024586520482e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000026601977439e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000028704541251e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000030894521004e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000033172195586e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000035537815819e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000037991608011e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000040533775376e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000043164500525e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000045883947948e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000048692265082e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000051589586931e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000054576032156e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000057651709469e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000060816716214e+01,1.144699999999999989e+02,0.000000000000000000e+00
