accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.982806916896794225e-02,-3.023882005226461930e-03,-9.795357813467930441e+00
1.933808273188308002e-01,-7.196489030413998934e-03,-9.788199954461161312e+00
2.704282952238243887e-01,-2.785714766843867059e-04,-9.794282637974101036e+00
3.577314428073432584e-01,5.537002914946576038e-03,-9.791864964090994050e+00
4.076678233964041165e-01,-5.172895173763323445e-03,-9.787472238081910803e+00
4.668455642240315062e-01,7.208465088765866023e-03,-9.800065716202057686e+00
5.171116132902586759e-01,-7.991680513697522320e-05,-9.787936151370782767e+00
5.738495885263108498e-01,-4.748603771614877574e-03,-9.791703738255794320e+00
6.226124275011423181e-01,-1.467538908664022066e-03,-9.796504865447037247e+00
6.527605714228710276e-01,7.781387282409776840e-03,-9.789135334500526753e+00
6.830383064068834553e-01,-6.552681954189319875e-03,-9.786644258747637437e+00
7.120353493661309985e-01,5.343931633979865248e-04,-9.794232178082605600e+00
7.455796028473277159e-01,-6.532339037880453836e-03,-9.785098040222109717e+00
7.725769408463551979e-01,1.652147026793490897e-03,-9.801177364109578960e+00
7.990883230069557586e-01,8.555687079082874551e-05,-9.798845476105867647e+00
8.225478704222848325e-01,7.871888314679876403e-03,-9.792448748032345662e+00
8.326919814086709559e-01,-6.100998793657376636e-03,-9.801133286993081839e+00
8.517652240578558187e-01,-1.143053116442857521e-03,-9.792169206966180539e+00
8.676690617586861887e-01,2.435991668339931339e-03,-9.791111133192279325e+00
8.804484165038579668e-01,2.220105040864884768e-04,-9.798875876604558499e+00
8.937507635978976239e-01,-4.699825299921696993e-04,-9.802709517064979394e+00
8.993178645706404462e-01,-4.012000324448092574e-04,-9.793282934477238300e+00
9.120154323518050443e-01,3.649509166864994044e-03,-9.793276910479043806e+00
9.245848783866514875e-01,9.615648209313490879e-04,-9.799151792580602205e+00
9.286877081907795040e-01,-2.950749517312334803e-03,-9.794649341966469080e+00
9.448407033272089306e-01,-1.615075574643781665e-03,-9.790103352169957418e+00
9.409348789866883722e-01,-4.515805095557345362e-03,-9.801255993292965485e+00
9.488132673351571400e-01,-5.513904803658607572e-03,-9.793728363742571830e+00
9.583701662211624450e-01,5.923665660366835700e-03,-9.788051586681920213e+00
9.607567516226895865e-01,-5.686369494150947737e-03,-9.790581489547374616e+00
9.682720103827229252e-01,-3.197180467073790222e-03,-9.790880993811056143e+00
9.626884217526879839e-01,2.627542967539295716e-03,-9.798128323076092272e+00
9.688721241859098443e-01,3.248037389301797456e-03,-9.794550198130194119e+00
9.775185977448432872e-01,-4.345442889917308822e-03,-9.789880220086711660e+00
9.685063986476951658e-01,-1.017427523747027607e-02,-9.790528548731289860e+00
