gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.045000001947389023e+01,1.144700001630591970e+02,-1.925549043782897457e-02,5.877493908958780072e-02,-4.084020696556988142e-03,-1.744898455723358638e-02
3.045000004409061845e+01,1.144700001491170553e+02,-1.244252664578191468e-02,8.020711420212879583e-02,1.064146379533863901e-02,5.620053514398992006e-02
3.045000004196668897e+01,1.144699999979774105e+02,1.497455159370901338e-02,8.509850629780219000e-02,2.240990589700365965e-02,-5.172282181149107094e-02
3.045000035419883488e+01,1.144700000329410017e+02,-4.019205753337126708e-02,2.085589885628360285e-01,-3.267619416287185358e-02,5.172496586486418496e-02
3.045000044529666283e+01,1.144699998279395317e+02,-2.621782487541928289e-02,3.767389744193841983e-01,-1.862391776955901398e-02,1.100049668131143285e-02
3.045000067676541278e+01,1.144700001277456352e+02,-7.384518349397128055e-03,4.750681900753129794e-01,-6.816970912210099098e-02,-1.463151903597893072e-02
3.045000120977888258e+01,1.144700000067746686e+02,4.869441841807631982e-02,4.622401526712860420e-01,3.917543978642433478e-02,-6.334266131427288005e-02
3.045000166357087679e+01,1.144699999943201476e+02,3.399896499361605706e-02,6.077919719157803824e-01,-4.540866735077680322e-02,2.822032434362002629e-02
3.045000217566575174e+01,1.144700001029847698e+02,2.755798065811797259e-02,8.166826155315918268e-01,-8.588720634369842455e-02,-3.175812428139122845e-02
3.045000315582098338e+01,1.144700001454522891e+02,-1.668145506046721585e-02,7.798728638843916983e-01,-3.043275868608052992e-02,-6.333125946430248621e-02
3.045000380131849482e+01,1.144700000578774421e+02,4.555753414746131595e-03,9.083957652548874107e-01,1.270558275990605474e-02,4.372634807674113944e-02
3.045000464170975363e+01,1.144700001765928477e+02,3.573833416910113941e-02,1.053709740962536445e+00,-1.416839247572595772e-01,3.992021325229209300e-02
3.045000555520416796e+01,1.144699999307650700e+02,-1.391536817861084574e-02,1.077652971739004872e+00,-4.238793263171745929e-02,8.906711286239682446e-03
3.045000670289515554e+01,1.144700001837717451e+02,7.958058740187111749e-03,1.176608498938800595e+00,-1.423388638836022568e-01,-2.123935697093241176e-02
3.045000771731048061e+01,1.144700001051113389e+02,2.078366642530772926e-02,1.239271792096393154e+00,-5.442881677302426058e-03,-8.314632464319322847e-02
3.045000898626408059e+01,1.144700001234032243e+02,-8.214612166257894213e-03,1.380952897340873120e+00,4.691544666243280953e-02,-7.410868886223913321e-02
3.045001019933235042e+01,1.144699999365731458e+02,-2.411175828336014140e-02,1.525002648145925788e+00,4.547236918051041771e-02,1.602298245489282270e-04
3.045001158744729253e+01,1.144700000259873320e+02,4.945137938137579179e-04,1.602314613814287414e+00,6.982593094920030996e-02,-6.632898992429740737e-02
3.045001312150863981e+01,1.144699999230226410e+02,5.967374267155709996e-03,1.619568110023492435e+00,4.120878181592065037e-02,-3.119882810109425586e-02
3.045001465429067977e+01,1.144699999752916995e+02,-7.491454165132002511e-03,1.851087000894331425e+00,3.379235598465227947e-02,1.518041757968314510e-02
3.045001631615470572e+01,1.144699999221769673e+02,1.773800444409381893e-02,1.928834086939549941e+00,-5.809509055096259700e-02,2.046202073737894700e-03
3.045001813733864893e+01,1.144699999362135117e+02,-1.244824847503983763e-02,2.003191028260646434e+00,4.276431175363300946e-02,6.620787011911100084e-02
3.045001996160065971e+01,1.144699999668026464e+02,-1.302739397541925054e-02,2.137151819418927179e+00,3.291337828382778774e-02,3.536492427720634019e-02
3.045002197968472046e+01,1.144699999713346585e+02,-2.772163349427737497e-02,2.137127245243439333e+00,2.061754055648804679e-02,9.143177209816844009e-02
3.045002403182398254e+01,1.144699999674610211e+02,9.032620028956789976e-03,2.274878209386534511e+00,-8.522498561946112439e-02,3.001098598589412025e-02
3.045002593041565575e+01,1.144699998152840692e+02,5.523887433017220933e-03,2.388922891732875531e+00,-5.930612190822579649e-02,-2.627855265481448752e-02
3.045002849137596357e+01,1.144700001161946545e+02,-1.489434634420962883e-02,2.539823412229416100e+00,9.020098957250031677e-03,-9.300745033093270331e-02
3.045003066076079534e+01,1.144699999640551198e+02,-4.069040953836546536e-03,2.551339578355857007e+00,9.582110970122709181e-03,-2.169630219738850896e-02
3.045003291000453061e+01,1.144700000011397947e+02,2.481351183366240637e-02,2.656032280769794696e+00,8.325828208986546519e-02,-3.982840925218777972e-02
3.045003563021501591e+01,1.144699999484270734e+02,-1.129055721071080091e-02,2.809882735308545598e+00,5.569992386674447321e-02,6.098764095237074051e-02
3.045003808580154825e+01,1.144700000420699695e+02,-1.524607508337156268e-02,2.898384064739880639e+00,3.246749714133859849e-02,-9.967594864382717246e-02
3.045004077567862666e+01,1.144699999244768662e+02,-2.189364532370569744e-02,3.078349244218401726e+00,3.625988204816701921e-02,2.556778784028290383e-02
3.045004363017735116e+01,1.144700002385089590e+02,-2.011244718175240337e-02,3.094381649690097547e+00,1.951693527091128907e-02,-3.302353531547710941e-02
3.045004641770877640e+01,1.144699999496704379e+02,-2.145433591408028168e-02,3.160367143409597457e+00,7.696769658035340633e-02,1.148963847615996486e-01
3.045004934065261537e+01,1.144699999413735441e+02,-1.118312868587961403e-02,3.381234587110263590e+00,-4.628771421989723994e-02,-1.038296015012957381e-02
3.045005222766189235e+01,1.144699999504313013e+02,2.149400689114609742e-02,3.403664513702979288e+00,5.032610781996506299e-02,1.096225312259814511e-01
3.045005547480311492e+01,1.144700002030033090e+02,1.298721432701748640e-02,3.510196266461747427e+00,7.407522204683694711e-02,2.176730708579287590e-02
3.045005879772064006e+01,1.144699998397319263e+02,1.997192860532833944e-02,3.583722237574310743e+00,-3.912926741910602996e-02,1.073845832586157274e-03
3.045006195485390066e+01,1.144699998867521913e+02,-2.359326413328966324e-02,3.764295560495852122e+00,2.437100094769678940e-02,2.487900759727035283e-02
3.045006525903748695e+01,1.144699999778084276e+02,3.322846293555543548e-03,3.888148852338524364e+00,8.458593069570827239e-02,-6.711327714203380035e-03
3.045006875531866797e+01,1.144700000616765152e+02,-1.688385845568655258e-02,3.945030501142386292e+00,7.994230117703765570e-02,-6.856511938912956960e-02
3.045007239006218214e+01,1.144699999110382294e+02,1.301363711599937655e-03,4.052457787969666825e+00,7.747260337675727915e-02,-1.607824774688304537e-02
3.045007598612738420e+01,1.144699999617801467e+02,-2.981512011389908512e-02,4.143282330224228538e+00,-2.298450014508949049e-02,2.019140512775734198e-02
3.045007974457842437e+01,1.144699998849662279e+02,-1.432968253792904316e-02,4.205343956815887019e+00,1.801062475329014189e-03,9.985240178713894466e-02
3.045008354673986872e+01,1.144700000059969085e+02,-2.052059124307104368e-02,4.369279866461487138e+00,-1.809758155322892595e-02,1.149236110448261794e-01
3.045008757703123337e+01,1.144700000705637422e+02,-1.225945191999102714e-02,4.417106632561748292e+00,4.188817171155807123e-02,-1.099898478076034580e-01
3.045009158923892301e+01,1.144699998918901116e+02,-1.407199779864172495e-02,4.510479002554701466e+00,-2.544900890719328790e-02,-2.235111862118374648e-02
3.045009566301805393e+01,1.144699999795297174e+02,1.632377093238659288e-02,4.578040730861663299e+00,-1.032431516087319902e-02,5.616398976314127683e-02
3.045009975676829228e+01,1.144700000811488110e+02,-9.547892284670561960e-03,4.698651970148827850e+00,3.817740648312416274e-02,3.702814557870938439e-02
3.045010429521160589e+01,1.144699999928890151e+02,-2.060735299351373288e-03,4.777647366316239541e+00,7.829730725001358971e-02,-8.186907733234264099e-04
3.045010834318704340e+01,1.144699997421938633e+02,3.866757907687002564e-03,4.859427808338736554e+00,2.890627163656296628e-02,3.531793794473896131e-02
3.045011301081954969e+01,1.144700001376935461e+02,-4.738951528983418628e-03,5.041043148411482377e+00,8.366723521952523779e-02,1.020022420927138990e-01
3.045011767294930394e+01,1.144700001741346256e+02,2.543448322678065060e-02,5.059246683519562637e+00,-5.657756536359373478e-02,2.378659110949125910e-02
3.045012222016724479e+01,1.144699999355558617e+02,4.294772052766071546e-02,5.258381975261131380e+00,1.500357132696631193e-02,2.140591057562333741e-02
3.045012679855091875e+01,1.144700000434976772e+02,-2.786139584785631354e-02,5.366535873061584638e+00,-7.316199336928397301e-02,-4.393850802720815352e-02
3.045013168191711728e+01,1.144699999861485225e+02,-9.817035846030906787e-03,5.346351571565607586e+00,1.070925432420028606e-01,-1.088834566772116236e-01
3.045013686405662057e+01,1.144699999664965446e+02,-1.457198849563614076e-02,5.564362868128866602e+00,-4.479913007805771952e-02,3.625572892603011466e-02
3.045014167348996637e+01,1.144699999670467179e+02,1.172939048594113555e-02,5.597351100024824611e+00,7.151674226225508690e-02,-9.835235902027493482e-02
3.045014684140674532e+01,1.144699998607892013e+02,-3.265862696275554505e-02,5.602554711002276200e+00,-4.822183778105320479e-02,-2.318424441906140679e-02
3.045015218083005237e+01,1.144699999812125384e+02,-2.010465100447252421e-02,5.913569713879985201e+00,-7.386385989531506213e-02,3.258121167903937215e-02
3.045015721482131710e+01,1.144699998465104187e+02,-9.489982211576562798e-03,5.895196686000071296e+00,2.587886373910742305e-02,4.513277301121798590e-02
3.045016279797000536e+01,1.144699999043763796e+02,1.855334182820147018e-02,5.972621310277110851e+00,3.849616305914071307e-02,1.537196233842041959e-02
3.045016815382351894e+01,1.144700000226534797e+02,1.913986881575262949e-02,6.015573087011305553e+00,3.401044191779541842e-02,6.603183884951598082e-02
3.045017357581027184e+01,1.144700000105756885e+02,4.061756471658134991e-03,6.260544918668110803e+00,-8.725071952934145697e-03,-4.237934367770944399e-02
