gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.090275977795362485e-02,3.061679423688548271e-02,-2.690151531846133107e-02
4.048792574479865430e-03,6.310865991701372635e-02,-4.195060907012090196e-02
-5.829365466204546736e-03,2.742293369985802573e-02,-3.480756318942158922e-02
1.271165423444852761e-02,4.719741604048551670e-02,1.655376547690956893e-02
1.509776996613964477e-04,-5.152688868933212596e-02,-1.373316295985670642e-02
-5.809833186371819030e-02,3.743890884656097227e-03,-3.408864210563749414e-02
1.059445906367114873e-02,1.995616432635223189e-02,-6.641093434117859018e-02
4.611526803646022465e-02,-5.143906721933081197e-03,1.012878715269046881e-01
-7.009105891904269039e-03,-5.439073398084551259e-02,-2.211522099384777978e-02
-1.534985563297998866e-02,-9.824640038827633926e-02,-4.870704385886130694e-02
-1.346195756526847795e-02,-2.950463781335413080e-02,6.778414823121481358e-02
1.900205949170361355e-02,1.554428268782735711e-02,8.190726545968776695e-02
1.872994727198422360e-02,-2.257147368779252562e-04,1.307526204935074467e-02
1.622386636967537363e-02,-4.830657624375656045e-02,-6.026969724626273645e-02
3.860597175075091564e-02,-1.822753068354195441e-02,-7.653161787217691026e-02
-8.763043635334550469e-03,-5.041801281695756226e-02,-3.169732952295124112e-02
4.773164542167077778e-02,-6.903208907271890515e-03,3.474008661515563118e-02
-2.005891157986283355e-02,2.282061810585382829e-03,6.995475558304181662e-02
-4.723957100746183080e-02,-1.177042991776597151e-02,3.895679849137957673e-02
1.004504101782297681e-02,-4.767424318544733614e-02,-2.728798761620057634e-02
-4.531185633567339638e-02,-1.745671002697483931e-02,5.712935197380950014e-02
3.144393148295649559e-02,-8.832952479193657835e-02,7.621488589581476569e-03
9.732777630029063043e-02,-3.059178320186592762e-02,4.795514186887499253e-02
5.489489500111578019e-02,-9.021310013873161393e-02,1.932882112982237457e-02
7.401210405489264121e-02,-2.254439644601732851e-02,-9.190897098736012377e-03
6.925716338528594210e-03,-7.408321323297628602e-02,5.314163127002882042e-02
3.655100915261651207e-02,3.995835586434352132e-02,1.432626886043000466e-02
6.182968517236194471e-03,4.677236910241664575e-02,2.182723203330363265e-02
