ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.045000000000000284e+01,1.144699999999999989e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045000001228480357e+01,1.144699999999999989e+02,0.000000000000000000e+00,4.138105960899998714e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.045000008033380112e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.209418989131512134e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.045000022657825767e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.138152042447694079e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.045000045883947948e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.113302794647291316e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.045000077984456865e+01,1.144699999999999989e+02,0.000000000000000000e+00,4.104638397686588003e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.045000119054442322e+01,1.144699999999999989e+02,0.000000000000000000e+00,5.101617309269921297e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.045000169127058953e+01,1.144699999999999989e+02,0.000000000000000000e+00,6.100563920873394164e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.045000228213868709e+01,1.144699999999999989e+02,0.000000000000000000e+00,7.100196627050473497e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.045000296318901079e+01,1.144699999999999989e+02,0.000000000000000000e+00,8.100068559613238239e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.045000373443562225e+01,1.144699999999999989e+02,0.000000000000000000e+00,9.100023905258995960e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.045000459588342423e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.010000833524841823e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045000554753411848e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.110000290632141562e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045000658938830895e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.210000101337161738e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045000772144619461e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.310000035334083712e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045000894370785716e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.410000012320233198e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045001025617331436e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.510000004295799725e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045001165884257688e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.610000001497852828e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045001315171565537e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.710000000522268859e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045001473479253562e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.810000000182103719e+00,0.000000000000000000e+00,0.000000000000000000e+00
