gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-7.554718525474142521e-02,-2.047598010085131381e-03,-1.358561121609511840e-02
4.008075630429281527e-02,-1.577599418476982943e-02,3.219742339264792391e-02
-2.098887114428859418e-02,1.612287680428245787e-02,-3.132173919558698533e-02
-3.756856498444498954e-02,4.728662181137818950e-03,-4.973109664375987421e-02
-5.938610530598378845e-02,-6.585346782953556410e-02,8.066704631807185277e-02
6.993952608266605642e-02,-1.648344696852087040e-03,2.434750654479007730e-03
-1.169205891903611766e-01,7.047514126636013343e-02,2.649359990706591853e-02
-2.525425852618990580e-02,-4.726669271026068958e-03,-4.210422467835692878e-02
1.351098156928027400e-02,2.922426066902580194e-02,-6.201325858656765201e-03
2.476765345747532904e-02,-8.581802176341803146e-02,-1.876064511554877828e-02
3.136917550790094267e-02,7.078512833869154974e-02,-4.782390883662263059e-02
6.503834839713915073e-02,2.096661764592684316e-02,-5.546632754538904919e-02
-7.559120845879138684e-02,-1.381556895873297525e-02,-2.583155422099974591e-02
-6.514338043479535323e-02,6.147257491094215709e-02,-2.032833553209324740e-02
-7.346423255523520240e-03,-1.019183018231509807e-01,-5.114377973861584936e-02
2.023491342233360232e-02,2.301221098035141632e-02,4.867880761972163961e-03
2.519250700485484509e-02,-9.510076307033434387e-03,3.589377818190333386e-02
7.532001656470523054e-02,-3.809999740483200475e-02,-7.855657455753428664e-02
2.394848474289328760e-02,2.740560172325340327e-02,2.764439606260770538e-02
-1.547501654953678356e-02,6.498295334712267390e-02,6.022107904970539632e-02
-8.086681789227112560e-02,-3.753190055842857420e-02,-1.436124626084822088e-02
1.826618221509693218e-02,-5.121433250825838807e-02,-1.614864937101220810e-02
8.873042688768869451e-03,9.018856143895824518e-02,5.756340173120854005e-03
-1.502283654399555642e-02,3.360636040049724133e-02,-3.074547782296633419e-02
-1.066365386572166035e-01,1.085374211555289624e-03,-1.567826628949401876e-02
-2.425049641884921905e-02,-3.636550769284591783e-02,2.259418197814836576e-02
-8.426008748117641556e-02,-2.466941970911893864e-02,-9.735651011743308436e-02
6.266262848411752184e-03,-3.759592599264054841e-02,2.859208886505026914e-02
3.171325299454763602e-02,7.092281276186637728e-02,9.151726816074792770e-02
-2.539373200867253016e-02,-5.074810945655192779e-02,-1.350715530029320821e-01
-2.747944514887246115e-02,-1.540682104654829583e-02,2.423909809573914984e-02
-1.170497466420876084e-02,5.512722880689408834e-03,1.018452751074545512e-02
-1.650247738705050773e-02,-1.169991057648223608e-02,-2.919467444522618957e-02
1.497346440584784895e-02,-2.966754206023545712e-02,2.537460587700023085e-02
-3.656985811922864454e-02,7.965343710288699808e-02,4.960052550302659902e-02
2.254699089157854996e-02,-9.154396610142133406e-02,-5.982707125814899080e-02
4.226303882564701707e-03,-2.298014115570114896e-02,-9.991627642821648836e-02
8.315231988460890580e-03,2.675050569365694866e-02,-7.590475499496293632e-02
1.441716066126673586e-02,4.542742271764235035e-02,1.829484489729446594e-03
-3.636773235241740759e-02,5.079558830853535788e-03,4.671758060407464608e-02
-7.158411651125026233e-03,8.553446107081677519e-02,-5.841198052821198333e-02
3.182503660938593160e-02,2.256214868497762732e-02,-3.610351697160662371e-02
1.860481895876065633e-02,3.957192724916769322e-02,6.418165882902750197e-02
3.296850699505941840e-02,-4.925996837929928068e-02,2.880690969976777011e-02
-4.029355204919131232e-03,2.116525235749184414e-02,-3.688847670237596632e-02
1.646503419882635808e-02,-4.554474249509508216e-02,-4.571263495922727599e-02
-6.121886206920814505e-02,4.992875956641239232e-03,6.029767407290867595e-04
2.873736875122545609e-02,-7.434141624179443908e-02,1.734344982004058441e-02
7.721786502061456225e-02,-1.291908228668182251e-02,2.154311681523069302e-02
-8.538025508056427959e-02,2.708132377182138201e-03,-6.023745773452021668e-02
-7.294957152383612156e-03,4.197011831524086189e-02,2.837803387019185997e-02
-1.545035058740539848e-02,2.442060626892480352e-02,-1.462230384484921979e-02
2.059281415381443436e-02,2.922845450712433998e-02,5.590884711818728918e-03
1.602375774073583684e-02,5.795756161999962922e-03,4.151775642171460882e-03
2.097605095561637378e-02,-2.449022696452547027e-02,-4.951641427511420390e-02
1.276162374400932609e-02,-2.137922888385763304e-02,1.713852314495379822e-02
-1.372776721079713158e-01,4.918683682133701690e-02,-4.353966612532706587e-02
4.062660051764276775e-02,5.974934897828658442e-02,-1.493464164212463668e-02
-2.096422104167559169e-02,1.303141305947715101e-02,3.719675423532355779e-02
1.576239447859655723e-02,-2.436018975219163621e-02,3.334135214873220482e-02
-2.072285686859235906e-02,6.565567155903649643e-02,2.587163507157482639e-02
4.596793672563386640e-02,-2.134166673226490021e-02,-8.352761847005544041e-03
2.070267825353400148e-02,6.033445671634322938e-02,4.106767823789814198e-02
3.944373969578213873e-03,3.046056505193825426e-02,7.273603192566163722e-02
-2.808046772618756973e-03,1.229658095486389205e-03,-2.812285461035824233e-02
-3.088848673199756992e-02,1.074793383279232586e-02,2.117339171180164514e-02
6.295151998338292809e-02,-5.471349878907277170e-02,-2.514711475130521068e-02
5.271664046426590561e-03,-1.942624579363294753e-03,4.963014982697608324e-02
-4.855699843849296815e-02,9.517020723261675544e-03,5.649100315657715893e-03
-4.176376106613866740e-02,1.141700907525476302e-02,1.367700684035789462e-02
-9.016957088286536859e-03,-1.855333402740201240e-02,7.090951718513147095e-02
8.918101095337290255e-04,-4.692203064065130630e-02,-2.644993133956541689e-02
5.138677975820570704e-02,-2.049632074453605277e-02,-7.371630670747162349e-03
7.581303138703917449e-03,-1.183568406811188675e-02,1.888561427912003460e-02
6.348679891994253068e-03,5.231394562722305186e-02,-7.722290711483603687e-02
-3.580976779086569167e-02,-1.701377852097586782e-04,-7.340146629784444210e-02
6.769301298880908702e-02,-3.054028637607010196e-02,2.913073380778954773e-03
4.049716020754642182e-02,3.720006152296024410e-02,4.654770207196650550e-02
1.932720967349988925e-03,3.734087116416499180e-02,3.382396756990457918e-03
8.787540543747149671e-03,5.499106062086728253e-02,-1.617473936743447568e-02
-5.685281026256590320e-02,-2.335557527787657586e-02,-1.876091112815631706e-02
2.997090624031189046e-02,9.704868245501142854e-02,-4.286871683869560717e-02
3.591335225503350381e-02,-7.968853861373477454e-02,2.579260663314055652e-02
1.568474117671106102e-02,-1.096705896223002311e-02,-3.674115317380920176e-02
4.660487344066716747e-02,-3.337543927285499534e-02,1.789309320205072218e-02
4.137685463982981871e-02,-1.672616714969532223e-02,-2.824840253048999453e-02
2.721511618763934603e-02,-9.079992616396593760e-03,-5.121945253985902419e-02
-6.281404613635881151e-02,8.378357887921938571e-03,1.151171730540632640e-02
-6.801254764958754306e-02,7.648697542828682052e-05,-7.399990722748139502e-03
-2.842253699965233832e-02,-4.549223453885974794e-02,-3.435571295715913326e-02
-6.785408723421922084e-02,1.400873880886055814e-02,2.656784094975795166e-02
3.639854320242260494e-02,-1.260232840509577582e-02,6.425189953196322468e-02
2.092426888666992432e-02,-4.600834744796396258e-02,1.480661316180124400e-02
-5.485684384633851031e-03,-6.057262324027285622e-02,-6.886458293496995620e-02
-5.984550479382812205e-02,6.649443283421341278e-02,7.984430371346247501e-02
-1.312041347672542220e-02,-4.844291100510956030e-03,-3.351972097397702688e-02
1.580734805896056791e-02,-1.404755814135132987e-02,-1.254783085333136157e-02
-1.374191847973140791e-02,1.146198463383987180e-03,3.555978978732345086e-02
-1.092063606711759539e-02,-2.507386050634667282e-02,6.650564296278674292e-02
-6.158430369396487858e-02,-5.147732656913610316e-02,-3.652399808224163907e-02
-2.286623582181674611e-03,7.552541904762570708e-03,-1.561711176856510168e-02
4.989303526076750706e-02,-3.682813768337000332e-02,1.085562580950018806e-02
5.153662619367783970e-02,4.724599854938810878e-02,4.577275776979657790e-02
-7.953476294538926183e-02,-2.766880361677807529e-02,7.909164735195631235e-02
-3.020692955231303253e-02,-5.407701880273518835e-02,2.959633004491472440e-03
-5.333816238629015410e-02,-7.181796047261745919e-02,5.965509185619255472e-02
3.960686222199271550e-02,2.351350710094987466e-03,3.871836387864893703e-02
5.426327011319671129e-02,1.013344751467652322e-01,5.556580793272222069e-02
2.636791590039921224e-02,1.585228590445158028e-02,-1.655806393953212358e-02
-1.823893287993370513e-02,-4.772725114934615182e-02,2.371097765691046813e-02
-3.485170208635627459e-02,2.875613991658580379e-02,2.390651868606462338e-02
-5.163611749991506988e-02,7.290952313298119936e-02,-1.048379643192640966e-02
5.115938453894542520e-02,-4.493578369249317389e-02,7.162305706103769265e-02
-2.335991519367095967e-02,-3.356975895484832356e-02,1.531918650834684925e-03
-1.103656495766588627e-02,4.302639865787249995e-02,-5.827434605108602894e-02
-4.535316058929156346e-02,-2.435640385509202019e-03,3.005496217336376882e-02
6.066604973846159016e-02,-1.801453741292645058e-02,3.085079068914736711e-02
1.674671436629435184e-02,1.877882259857836106e-02,-3.780283872177117588e-02
2.193425094015193783e-03,-5.424925335659779718e-02,1.728735641191442643e-02
4.698621999092233992e-02,-2.752370245058720355e-02,1.605026760252819054e-02
6.065441980556182666e-03,8.049976694406274155e-03,1.694929060783811198e-02
-1.978840808755498275e-03,-1.755018411301493067e-02,-1.406233264548129068e-03
1.888765117919557687e-02,4.635287850327714232e-02,5.437573017462284108e-02
-2.367219519633202360e-02,5.752133212309724908e-02,-9.312990266810759407e-03
-1.426391616145248654e-02,-3.850680649488884277e-02,-4.254951837530386582e-02
-4.803130645512877078e-02,3.418740157710972727e-03,-1.581169773253896307e-02
2.254817660098125745e-02,8.893607519155195817e-02,3.479106526853672360e-02
1.003385441860678851e-01,-5.576908453747336097e-02,-2.686879694581850372e-02
2.156248554934244322e-03,-3.960906387520826688e-02,8.683709862036152749e-02
-1.478543929179555565e-02,3.365313616850489770e-02,-9.504036239960207688e-02
9.142783755725452516e-03,2.728572114886029104e-02,-4.862885946875179777e-02
1.424393271514765675e-03,-6.122866568207267074e-02,7.289478159370875454e-02
-3.751970864390262450e-02,9.879930034281711460e-02,7.001103722573639651e-03
-5.119188176972261362e-02,-3.587573884859588096e-03,-2.444745418056847724e-02
2.861121432962755382e-03,-2.086408022610055160e-02,-1.266634293902826371e-02
4.096783349483502229e-02,-3.818017790243360965e-02,2.394550840601124622e-02
-4.737818030121884044e-02,-3.258884190747700273e-03,1.074525897923444238e-02
-2.661880181626759961e-02,6.604301973866864676e-03,-4.521648071758459925e-02
6.921605708219817632e-02,6.535651973150823774e-03,3.294913039808450989e-02
-3.188844361283381390e-02,-1.245449064294015529e-01,-3.406635442855007745e-02
-5.110676879455244154e-02,1.067090972202570757e-02,-1.233890083227078861e-02
5.997133909876261985e-03,-5.091338990380820523e-02,-5.269768725388394165e-02
-6.228728147088001717e-03,-1.629826916671831558e-03,4.568501296274150164e-02
4.281074196875491594e-02,-1.118895583496776897e-02,-8.994133676698783109e-02
-7.027523692861328830e-02,4.765115060994881691e-02,8.788062645304435538e-02
2.816218641174402307e-02,3.306064512987962056e-02,-2.553668935744117519e-02
1.194745962066428788e-02,-1.642211010351859101e-03,6.850989103416689962e-04
8.327715235712376124e-03,1.329394607805201543e-02,-7.800584537075437586e-02
5.213656591287094827e-02,1.054579418964662592e-03,-2.409793459736014540e-02
2.178277008457825056e-02,-7.985882166577527863e-02,7.567441924816918630e-02
