ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.045000000000000284e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045013489252792738e+01,1.144700101390908600e+02,0.000000000000000000e+00,1.484701583677113490e+01,2.136848319995392043e+00,0.000000000000000000e+00
3.045026678074122373e+01,1.144700442915789012e+02,0.000000000000000000e+00,1.432994937540587621e+01,4.433119770354142730e+00,0.000000000000000000e+00
3.045039241640562366e+01,1.144701018373232984e+02,0.000000000000000000e+00,1.346003119973836526e+01,6.620238674101543985e+00,0.000000000000000000e+00
3.045050870595375514e+01,1.144701813594160313e+02,0.000000000000000000e+00,1.225868238460663839e+01,8.644345330523007576e+00,0.000000000000000000e+00
3.045061278595156651e+01,1.144702808998002865e+02,0.000000000000000000e+00,1.075548412493157713e+01,1.045559951596965220e+01,0.000000000000000000e+00
3.045070209360473967e+01,1.144703980074876881e+02,0.000000000000000000e+00,8.987450150695391216e+00,1.200940214118776872e+01,0.000000000000000000e+00
3.045077442986310601e+01,1.144705297989089132e+02,0.000000000000000000e+00,6.998115326112202439e+00,1.326749342876918547e+01,0.000000000000000000e+00
3.045082801356849345e+01,1.144706730289173322e+02,0.000000000000000000e+00,4.836463676787015942e+00,1.419889499584808590e+01,0.000000000000000000e+00
3.045086152531272106e+01,1.144708241706973411e+02,0.000000000000000000e+00,2.555722240436664183e+00,1.478067264469846087e+01,0.000000000000000000e+00
3.045087413992575165e+01,1.144709795026097225e+02,0.000000000000000000e+00,2.120504405709449924e-01,1.499850107879629491e+01,0.000000000000000000e+00
3.045086554679405921e+01,1.144711351998349329e+02,0.000000000000000000e+00,-2.136842744896694679e+00,1.484701663916297854e+01,0.000000000000000000e+00
3.045083595750897842e+01,1.144712874285577584e+02,0.000000000000000000e+00,-4.433119770210502075e+00,1.432994937545031178e+01,0.000000000000000000e+00
3.045078610065664293e+01,1.144714324403734338e+02,0.000000000000000000e+00,-6.620238674100737519e+00,1.346003119973876139e+01,0.000000000000000000e+00
3.045071720387776537e+01,1.144715666645902132e+02,0.000000000000000000e+00,-8.644345330522144266e+00,1.225868238460724768e+01,0.000000000000000000e+00
3.045063096363913147e+01,1.144716867961551969e+02,0.000000000000000000e+00,-1.045559951596877291e+01,1.075548412493242978e+01,0.000000000000000000e+00
3.045052950346098797e+01,1.144717898770381055e+02,0.000000000000000000e+00,-1.200940214118693738e+01,8.987450150696506768e+00,0.000000000000000000e+00
3.045041532162900566e+01,1.144718733690687742e+02,0.000000000000000000e+00,-1.326749342876849980e+01,6.998115326113500068e+00,0.000000000000000000e+00
3.045029122967823554e+01,1.144719352164345594e+02,0.000000000000000000e+00,-1.419889499584761339e+01,4.836463676788404165e+00,0.000000000000000000e+00
3.045016028316388557e+01,1.144719738962993034e+02,0.000000000000000000e+00,-1.478067264469821218e+01,2.555722240438109250e+00,0.000000000000000000e+00
3.045002570642339279e+01,1.144719884562971686e+02,0.000000000000000000e+00,-1.499850107879627537e+01,2.120504405724112640e-01,0.000000000000000000e+00
3.044989081318263047e+01,1.144719785379788703e+02,0.000000000000000000e+00,-1.484701663916318815e+01,-2.136842744895242951e+00,0.000000000000000000e+00
3.044975892496095327e+01,1.144719443856328809e+02,0.000000000000000000e+00,-1.432994937545074521e+01,-4.433119770209101418e+00,0.000000000000000000e+00
3.044963328928436752e+01,1.144718868402655545e+02,0.000000000000000000e+00,-1.346003119973940976e+01,-6.620238674099422127e+00,0.000000000000000000e+00
3.044951699972064674e+01,1.144718073188882244e+02,0.000000000000000000e+00,-1.225868238460809145e+01,-8.644345330520945225e+00,0.000000000000000000e+00
3.044941291970535246e+01,1.144717077796221218e+02,0.000000000000000000e+00,-1.075548412493345296e+01,-1.045559951596772308e+01,0.000000000000000000e+00
3.044932361203453297e+01,1.144715906734805770e+02,0.000000000000000000e+00,-8.987450150697679163e+00,-1.200940214118605809e+01,0.000000000000000000e+00
3.044925127576007995e+01,1.144714588840160445e+02,0.000000000000000000e+00,-6.998115326114796808e+00,-1.326749342876781590e+01,0.000000000000000000e+00
3.044919769204173576e+01,1.144713156563180689e+02,0.000000000000000000e+00,-4.836463676789792387e+00,-1.419889499584714088e+01,0.000000000000000000e+00
3.044916418028894967e+01,1.144711645171104948e+02,0.000000000000000000e+00,-2.555722240439554316e+00,-1.478067264469796172e+01,0.000000000000000000e+00
3.044915156567261505e+01,1.144710091879152145e+02,0.000000000000000000e+00,-2.120504405738775078e-01,-1.499850107879625405e+01,0.000000000000000000e+00
3.044916015880656701e+01,1.144708534934201793e+02,0.000000000000000000e+00,2.136842744893791224e+00,-1.484701663916339776e+01,0.000000000000000000e+00
3.044918974809925416e+01,1.144707012673078310e+02,0.000000000000000000e+00,4.433119770207700761e+00,-1.432994937545117864e+01,0.000000000000000000e+00
3.044923960496380388e+01,1.144705562578618157e+02,0.000000000000000000e+00,6.620238674098105847e+00,-1.346003119974005635e+01,0.000000000000000000e+00
3.044930850175830273e+01,1.144704220356763926e+02,0.000000000000000000e+00,8.644345330519746184e+00,-1.225868238460893700e+01,0.000000000000000000e+00
3.044939474201444085e+01,1.144703019057400155e+02,0.000000000000000000e+00,1.045559951596667148e+01,-1.075548412493447614e+01,0.000000000000000000e+00
3.044949620221026620e+01,1.144701988260579668e+02,0.000000000000000000e+00,1.200940214118518057e+01,-8.987450150698851559e+00,0.000000000000000000e+00
3.044961038405837073e+01,1.144701153348173506e+02,0.000000000000000000e+00,1.326749342876713378e+01,-6.998115326116093549e+00,0.000000000000000000e+00
3.044973447602211891e+01,1.144700534878878813e+02,0.000000000000000000e+00,1.419889499584666837e+01,-4.836463676791180610e+00,0.000000000000000000e+00
3.044986542254505579e+01,1.144700148081974476e+02,0.000000000000000000e+00,1.478067264469771303e+01,-2.555722240440999382e+00,0.000000000000000000e+00
3.044999999928888101e+01,1.144700002482292263e+02,0.000000000000000000e+00,1.499850107879623451e+01,-2.120504405753437793e-01,0.000000000000000000e+00
3.045013489252741223e+01,1.144700101665641085e+02,0.000000000000000000e+00,1.484701663916360559e+01,2.136842744892339940e+00,0.000000000000000000e+00
3.045026678074150439e+01,1.144700443190463659e+02,0.000000000000000000e+00,1.432994937545161207e+01,4.433119770206300103e+00,0.000000000000000000e+00
3.045039241640590078e+01,1.144701018647907489e+02,0.000000000000000000e+00,1.346003119974070472e+01,6.620238674096789566e+00,0.000000000000000000e+00
3.045050870595403580e+01,1.144701813868834961e+02,0.000000000000000000e+00,1.225868238460978255e+01,8.644345330518547144e+00,0.000000000000000000e+00
3.045061278595184717e+01,1.144702809272677513e+02,0.000000000000000000e+00,1.075548412493549755e+01,1.045559951596561987e+01,0.000000000000000000e+00
3.045070209360502034e+01,1.144703980349551529e+02,0.000000000000000000e+00,8.987450150700027507e+00,1.200940214118430127e+01,0.000000000000000000e+00
3.045077442986338667e+01,1.144705298263763638e+02,0.000000000000000000e+00,6.998115326117391177e+00,1.326749342876644810e+01,0.000000000000000000e+00
3.045082801356877411e+01,1.144706730563847827e+02,0.000000000000000000e+00,4.836463676792568833e+00,1.419889499584619408e+01,0.000000000000000000e+00
