ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.601799649885233882e-03,-1.353057167003899599e-04,8.978826094510971023e-01
3.601799449526371134e-03,-1.358714860114761276e-04,1.707882596933847807e+00
3.601798869007952642e-03,-1.369464475633653156e-04,2.436882573227624693e+00
3.601797507186516641e-03,-1.384796816927286059e-04,3.092982539451329949e+00
3.601794852832507915e-03,-1.404253602102319338e-04,3.683472496611984059e+00
3.601790330656510532e-03,-1.427422370092932234e-04,4.214913445615919407e+00
3.601783335432179756e-03,-1.453931896221587498e-04,4.693210287278857251e+00
3.601773256858186150e-03,-1.483448066467418216e-04,5.123677432334973858e+00
3.601759497254932059e-03,-1.515670164650348688e-04,5.511097850445055180e+00
3.601741483754047120e-03,-1.550327531255821505e-04,5.859776214303840547e+00
3.601718676288786537e-03,-1.587176556716804205e-04,6.173586729336632217e+00
3.601690572413948112e-03,-1.625997975669648979e-04,6.456016180426237483e+00
3.601656709761164726e-03,-1.666594432041170067e-04,6.710202673967222253e+00
3.601616666758136309e-03,-1.708788287837603834e-04,6.938970505714734394e+00
3.601570062099539605e-03,-1.752419651221836941e-04,7.144861541848444020e+00
3.601516553345879886e-03,-1.797344601911370391e-04,7.330163461930094826e+00
3.601455834938206181e-03,-1.843433594131681794e-04,7.496935177565294595e+00
3.601387635847375784e-03,-1.890570019341717518e-04,7.647029709199125058e+00
3.601311717021794638e-03,-1.938648912731761654e-04,7.782114775232200188e+00
3.601227868755051218e-03,-1.987575789098508917e-04,7.903691322225115279e+00
3.601135908061627294e-03,-2.037265595145743686e-04,8.013110202082430078e+00
3.601035676123125195e-03,-2.087641766557508547e-04,8.111587181518297385e+00
3.600927035847792911e-03,-2.138635379358812868e-04,8.200216450575480209e+00
3.600809869570983750e-03,-2.190184386129633010e-04,8.279982780292504785e+00
3.600684076912835738e-03,-2.242232928583204777e-04,8.351772464604081847e+00
3.600549572801031196e-03,-2.294730718869913446e-04,8.416383168051478236e+00
3.600406285660153090e-03,-2.347632482733015774e-04,8.474532788721871768e+00
3.600254155764813155e-03,-2.400897458330630591e-04,8.526867434893754094e+00
3.600093133750536644e-03,-2.454488945157585014e-04,8.573968604017805362e+00
3.599923179274309906e-03,-2.508373898057738791e-04,8.616359643799659906e+00
3.599744259815429795e-03,-2.562522561818660299e-04,8.654511567174427711e+00
3.599556349606598728e-03,-2.616908142291500018e-04,8.688848285783739911e+00
3.599359428684906041e-03,-2.671506510384737978e-04,8.719751320105096681e+00
3.599153482052443870e-03,-2.726295935645628790e-04,8.747564038568274469e+00
3.598938498936545168e-03,-2.781256846471806348e-04,8.772595472760105650e+00
3.598714472140121957e-03,-2.836371614291217469e-04,8.795123751108773646e+00
3.598481397473036417e-03,-2.891624359314678787e-04,8.815399189199670360e+00
3.598239273256146481e-03,-2.947000775704851990e-04,8.833647071059681721e+00
3.597988099890196689e-03,-3.002487974220984890e-04,8.850070152313037397e+00
3.597727879482403354e-03,-3.058074340592737751e-04,8.864850913021568246e+00
3.597458615524194974e-03,-3.113749408051008204e-04,8.878153585240958989e+00
3.597180312614187310e-03,-3.169503742600795581e-04,8.890125977821357495e+00
3.596892976220997674e-03,-3.225328839762560667e-04,8.900901118727917449e+00
3.596596612481077655e-03,-3.281217031635835237e-04,8.910598733129321047e+00
3.596291228027239176e-03,-3.337161403253372481e-04,8.919326573677405889e+00
3.595976829843978984e-03,-3.393155717297247336e-04,8.927181617758852994e+00
3.595653425146174212e-03,-3.449194346341136479e-04,8.934251145021709917e+00
3.595321021278055553e-03,-3.505272211866501588e-04,8.940613707149253742e+00
3.594979625629763590e-03,-3.561384729375600836e-04,8.946340000656455516e+00
3.594629245569070080e-03,-3.617527758991928924e-04,8.951493652406824708e+00
3.594269888386166043e-03,-3.673697560999571524e-04,8.956131926577551639e+00
3.593901561249637083e-03,-3.729890755827768565e-04,8.960306360928134595e+00
3.593524271172006141e-03,-3.786104288036375447e-04,8.964063339442155609e+00
3.593138024983416872e-03,-3.842335393902243179e-04,8.967444607704861070e+00
3.592742829312195636e-03,-3.898581572246590530e-04,8.970487736743017138e+00
3.592338690571231317e-03,-3.954840558179329411e-04,8.973226540480728985e+00
3.591925614949201522e-03,-4.011110299468787464e-04,8.975691451449733904e+00
3.591503608405863246e-03,-4.067388935274335966e-04,8.977909858928617481e+00
3.591072676670657281e-03,-4.123674777005694944e-04,8.979906413268141208e+00
3.590632825244065209e-03,-4.179966291096311030e-04,8.981703299784021155e+00
3.590184059401164279e-03,-4.236262083499443116e-04,8.983320485260428256e+00
3.589726384196944772e-03,-4.292560885734704283e-04,8.984775939803149925e+00
3.589259804473009068e-03,-4.348861542330065711e-04,8.986085836507426094e+00
3.588784324865326725e-03,-4.405162999519771105e-04,8.987264731159001485e+00
3.588299949812775828e-03,-4.461464295072618087e-04,8.988325723965076008e+00
3.587806683566227735e-03,-4.517764549137551363e-04,8.989280605112162092e+00
3.587304530197998713e-03,-4.574062956004861912e-04,8.990139985768148989e+00
3.586793493611496741e-03,-4.630358776691442715e-04,8.990913415984174151e+00
3.586273577550934226e-03,-4.686651332267685382e-04,8.991609490806277805e+00
3.585744785611002985e-03,-4.742939997851858269e-04,8.992235945775941985e+00
3.585207121246409157e-03,-4.799224197205223660e-04,8.992799742880521308e+00
3.584660587781225097e-03,-4.855503397867820558e-04,8.993307147908669918e+00
3.584105188417966749e-03,-4.911777106780820064e-04,8.993763800070205150e+00
3.583540926246396498e-03,-4.968044866346831749e-04,8.994174774653989957e+00
3.582967804251979520e-03,-5.024306250884328371e-04,8.994544639420043453e+00
3.582385825324004448e-03,-5.080560863436783033e-04,8.994877505352395275e+00
3.581794992263328484e-03,-5.136808332901051863e-04,8.995177072336716151e+00
3.581195307789762118e-03,-5.193048311443059948e-04,8.995446670270135670e+00
3.580586774549073068e-03,-5.249280472172060830e-04,8.995689296060101370e+00
3.579969395119613797e-03,-5.305504507047604807e-04,8.995907646923345879e+00
3.579343172018579523e-03,-5.361720124995933900e-04,8.996104150354957696e+00
3.578708107707921464e-03,-5.417927050214878379e-04,8.996280991100553237e+00
3.578064204599880165e-03,-5.474125020648364787e-04,8.996440135431207352e+00
3.577411465062204851e-03,-5.530313786613598069e-04,8.996583352990930038e+00
3.576749891423026267e-03,-5.586493109565632709e-04,8.996712236459350365e+00
3.576079485975427671e-03,-5.642662760985588458e-04,8.996828219248167002e+00
3.575400250981710520e-03,-5.698822521380148562e-04,8.996932591427944104e+00
3.574712188677370023e-03,-5.754972179381202509e-04,8.997026514062214986e+00
3.574015301274809184e-03,-5.811111530935609811e-04,8.997111032108191964e+00
3.573309590966789167e-03,-5.867240378576088142e-04,8.997187086027397029e+00
3.572595059929635063e-03,-5.923358530765079118e-04,8.997255522235230174e+00
3.571871710326221354e-03,-5.979465801304332997e-04,8.997317102505578035e+00
3.571139544308731418e-03,-6.035562008803578050e-04,8.997372512434973046e+00
3.570398564021227093e-03,-6.091646976202427528e-04,8.997422369060329217e+00
3.569648771602015273e-03,-6.147720530340145461e-04,8.997467227714887272e+00
3.568890169185850569e-03,-6.203782501568523610e-04,8.997507588198603301e+00
3.568122758905966242e-03,-6.259832723403520793e-04,8.997543900331468336e+00
3.567346542895947267e-03,-6.315871032211800530e-04,8.997576568951497933e+00
3.566561523291468961e-03,-6.371897266928695357e-04,8.997605958412943750e+00
3.565767702231889026e-03,-6.427911268804408114e-04,8.997632396634660523e+00
3.564965081861730303e-03,-6.483912881175668119e-04,8.997656178743644872e+00
3.564153664332030819e-03,-6.539901949260271607e-04,8.997677570354225551e+00
3.563333451801604934e-03,-6.595878319972219841e-04,8.997696810519331123e+00
3.562504446438188258e-03,-6.651841841755393820e-04,8.997714114386624829e+00
3.561666650419500601e-03,-6.707792364433926794e-04,8.997729675589036802e+00
3.560820065934218286e-03,-6.763729739077561530e-04,8.997743668396227079e+00
3.559964695182871001e-03,-6.819653817880546014e-04,8.997756249650931792e+00
3.559100540378665363e-03,-6.875564454052668969e-04,8.997767560511633178e+00
3.558227603748238647e-03,-6.931461501721253391e-04,8.997777728021004506e+00
3.557345887532352251e-03,-6.987344815842977310e-04,8.997786866517472504e+00
3.556455393986525729e-03,-7.043214252124570902e-04,8.997795078905658883e+00
3.555556125381623134e-03,-7.099069666951479240e-04,8.997802457799746634e+00
3.554648084004384707e-03,-7.154910917323705714e-04,8.997809086552537750e+00
3.553731272157911302e-03,-7.210737860798110792e-04,8.997815040181581736e+00
3.552805692162124516e-03,-7.266550355436521020e-04,8.997820386202702636e+00
3.551871346354161778e-03,-7.322348259759066044e-04,8.997825185380174062e+00
3.550928237088762322e-03,-7.378131432702225408e-04,8.997829492401866247e+00
3.549976366738605456e-03,-7.433899733581110243e-04,8.997833356486903966e+00
3.549015737694619782e-03,-7.489653022055548339e-04,8.997836821932516216e+00
3.548046352366281131e-03,-7.545391158099614814e-04,8.997839928606250481e+00
3.547068213181855424e-03,-7.601114001974223480e-04,8.997842712388923303e+00
3.546081322588657582e-03,-7.656821414202524129e-04,8.997845205573305805e+00
3.545085683053251883e-03,-7.712513255547770712e-04,8.997847437222910472e+00
3.544081297061662736e-03,-7.768189386993470686e-04,8.997849433494943483e+00
3.543068167119544244e-03,-7.823849669725517356e-04,8.997851217930907808e+00
3.542046295752350644e-03,-7.879493965116179466e-04,8.997852811718196619e+00
3.541015685505487665e-03,-7.935122134709711667e-04,8.997854233925485445e+00
3.539976338944445227e-03,-7.990734040209448172e-04,8.997855501714617787e+00
3.538928258654918443e-03,-8.046329543466205049e-04,8.997856630531279265e+00
3.537871447242927313e-03,-8.101908506467906572e-04,8.997857634276622107e+00
3.536805907334912569e-03,-8.157470791330255662e-04,8.997858525461706947e+00
3.535731641577828915e-03,-8.213016260288385530e-04,8.997859315346524056e+00
3.534648652639230462e-03,-8.268544775689399282e-04,8.997860014065091505e+00
3.533556943207344890e-03,-8.324056199985644614e-04,8.997860630738054866e+00
3.532456515991141965e-03,-8.379550395728745278e-04,8.997861173574026594e+00
3.531347373720398163e-03,-8.435027225564228860e-04,8.997861649960791297e+00
3.530229519145745235e-03,-8.490486552226753037e-04,8.997862066547380522e+00
3.529102955038727896e-03,-8.545928238535816478e-04,8.997862429317949662e+00
3.527967684191845883e-03,-8.601352147391956538e-04,8.997862743658281204e+00
3.526823709418589088e-03,-8.656758141773344874e-04,8.997863014415591110e+00
3.525671033553484397e-03,-8.712146084732779860e-04,8.997863245952423483e+00
3.524509659452119970e-03,-8.767515839394985841e-04,8.997863442195081163e+00
3.523339589991171701e-03,-8.822867268954222471e-04,8.997863606677277915e+00
3.522160828068437912e-03,-8.878200236672200872e-04,8.997863742579379931e+00
3.520973376602855396e-03,-8.933514605876187367e-04,8.997863852763751780e+00
3.519777238534518068e-03,-8.988810239957384764e-04,8.997863939806542533e+00
3.518572416824697780e-03,-9.044087002369461097e-04,8.997864006026325967e+00
3.517358914455858201e-03,-9.099344756627307127e-04,8.997864053509845306e+00
3.516136734431664357e-03,-9.154583366305896848e-04,8.997864084135194673e+00
3.514905879777002144e-03,-9.209802695039356153e-04,8.997864099592694842e+00
3.513666353537976596e-03,-9.265002606520109573e-04,8.997864101403665771e+00
3.512418158781929235e-03,-9.320182964498171206e-04,8.997864090937316206e+00
3.511161298597437631e-03,-9.375343632780527804e-04,8.997864069425970612e+00
3.509895776094326680e-03,-9.430484475230635705e-04,8.997864037978748897e+00
3.508621594403661670e-03,-9.485605355767975227e-04,8.997863997593892549e+00
