ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.045000000000000284e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000135305716782e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000270611431858e+01,1.144700000002453208e+02,0.000000000000000000e+00
3.045000405917134145e+01,1.144700000009567304e+02,0.000000000000000000e+00
3.045000541222798773e+01,1.144700000023329380e+02,0.000000000000000000e+00
3.045000676528378136e+01,1.144700000045527872e+02,0.000000000000000000e+00
3.045000811833806509e+01,1.144700000077772302e+02,0.000000000000000000e+00
3.045000947138992586e+01,1.144700000121511039e+02,0.000000000000000000e+00
3.045001082443822327e+01,1.144700000178047787e+02,0.000000000000000000e+00
3.045001217748159661e+01,1.144700000248555938e+02,0.000000000000000000e+00
3.045001353051846849e+01,1.144700000334091214e+02,0.000000000000000000e+00
3.045001488354704833e+01,1.144700000435604181e+02,0.000000000000000000e+00
3.045001623656536438e+01,1.144700000553950048e+02,0.000000000000000000e+00
3.045001758957126015e+01,1.144700000689898047e+02,0.000000000000000000e+00
3.045001894256242636e+01,1.144700000844141385e+02,0.000000000000000000e+00
3.045002029553641520e+01,1.144700001017303066e+02,0.000000000000000000e+00
3.045002164849063675e+01,1.144700001209944134e+02,0.000000000000000000e+00
3.045002300142239093e+01,1.144700001422569073e+02,0.000000000000000000e+00
3.045002435432887467e+01,1.144700001655632207e+02,0.000000000000000000e+00
3.045002570720719604e+01,1.144700001909542380e+02,0.000000000000000000e+00
3.045002706005438142e+01,1.144700002184666943e+02,0.000000000000000000e+00
3.045002841286738615e+01,1.144700002481336867e+02,0.000000000000000000e+00
3.045002976564311226e+01,1.144700002799849869e+02,0.000000000000000000e+00
3.045003111837839782e+01,1.144700003140473683e+02,0.000000000000000000e+00
3.045003247107005251e+01,1.144700003503448897e+02,0.000000000000000000e+00
3.045003382371483980e+01,1.144700003888992370e+02,0.000000000000000000e+00
3.045003517630948764e+01,1.144700004297298790e+02,0.000000000000000000e+00
3.045003652885069201e+01,1.144700004728543377e+02,0.000000000000000000e+00
