ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-1.479800592384889705e-03,-9.793566325378664672e+00
0.000000000000000000e+00,-1.479800671530324702e-03,-9.793566326803395228e+00
0.000000000000000000e+00,-1.479800750675756881e-03,-9.793566328228124007e+00
0.000000000000000000e+00,-1.479800829821188409e-03,-9.793566329652852787e+00
0.000000000000000000e+00,-1.479800908966617768e-03,-9.793566331077583342e+00
0.000000000000000000e+00,-1.479800988112046477e-03,-9.793566332502313898e+00
0.000000000000000000e+00,-1.479801067257473018e-03,-9.793566333927040901e+00
0.000000000000000000e+00,-1.479801146402898691e-03,-9.793566335351769681e+00
0.000000000000000000e+00,-1.479801225548322196e-03,-9.793566336776500236e+00
0.000000000000000000e+00,-1.479801304693744617e-03,-9.793566338201229016e+00
0.000000000000000000e+00,-1.479801383839165303e-03,-9.793566339625959571e+00
0.000000000000000000e+00,-1.479801462984584905e-03,-9.793566341050690127e+00
0.000000000000000000e+00,-1.479801542130002772e-03,-9.793566342475418907e+00
0.000000000000000000e+00,-1.479801621275419121e-03,-9.793566343900149462e+00
0.000000000000000000e+00,-1.479801700420833952e-03,-9.793566345324878242e+00
0.000000000000000000e+00,-1.479801779566247266e-03,-9.793566346749608797e+00
0.000000000000000000e+00,-1.479801858711659278e-03,-9.793566348174339353e+00
0.000000000000000000e+00,-1.479801937857069555e-03,-9.793566349599068133e+00
0.000000000000000000e+00,-1.479802017002478749e-03,-9.793566351023798688e+00
0.000000000000000000e+00,-1.479802096147886208e-03,-9.793566352448527468e+00
0.000000000000000000e+00,-1.479802175293291932e-03,-9.793566353873258024e+00
0.000000000000000000e+00,-1.479802254438696354e-03,-9.793566355297990356e+00
0.000000000000000000e+00,-1.479802333584099260e-03,-9.793566356722719135e+00
0.000000000000000000e+00,-1.479802412729500864e-03,-9.793566358147451467e+00
0.000000000000000000e+00,-1.479802491874900950e-03,-9.793566359572180247e+00
0.000000000000000000e+00,-1.479802571020299301e-03,-9.793566360996912579e+00
0.000000000000000000e+00,-1.479802650165696568e-03,-9.793566362421641358e+00
0.000000000000000000e+00,-1.479802729311092101e-03,-9.793566363846373690e+00
0.000000000000000000e+00,-1.479802808456486115e-03,-9.793566365271102470e+00
0.000000000000000000e+00,-1.479802887601878829e-03,-9.793566366695833025e+00
0.000000000000000000e+00,-1.479802966747269591e-03,-9.793566368120563581e+00
0.000000000000000000e+00,-1.479803045892659052e-03,-9.793566369545295913e+00
0.000000000000000000e+00,-1.479803125038047212e-03,-9.793566370970024693e+00
0.000000000000000000e+00,-1.479803204183433637e-03,-9.793566372394758801e+00
0.000000000000000000e+00,-1.479803283328818761e-03,-9.793566373819485804e+00
0.000000000000000000e+00,-1.479803362474202367e-03,-9.793566375244216360e+00
0.000000000000000000e+00,-1.479803441619584672e-03,-9.793566376668946916e+00
0.000000000000000000e+00,-1.479803520764965460e-03,-9.793566378093679248e+00
0.000000000000000000e+00,-1.479803599910344512e-03,-9.793566379518409803e+00
0.000000000000000000e+00,-1.479803679055721830e-03,-9.793566380943140359e+00
0.000000000000000000e+00,-1.479803758201098281e-03,-9.793566382367872691e+00
0.000000000000000000e+00,-1.479803837346472780e-03,-9.793566383792603247e+00
0.000000000000000000e+00,-1.479803916491846411e-03,-9.793566385217335579e+00
0.000000000000000000e+00,-1.479803995637217658e-03,-9.793566386642066135e+00
0.000000000000000000e+00,-1.479804074782588037e-03,-9.793566388066798467e+00
0.000000000000000000e+00,-1.479804153927956898e-03,-9.793566389491529023e+00
0.000000000000000000e+00,-1.479804233073324024e-03,-9.793566390916259579e+00
0.000000000000000000e+00,-1.479804312218689633e-03,-9.793566392340991911e+00
0.000000000000000000e+00,-1.479804391364054157e-03,-9.793566393765724243e+00
0.000000000000000000e+00,-1.479804470509416730e-03,-9.793566395190454799e+00
0.000000000000000000e+00,-1.479804549654778218e-03,-9.793566396615188907e+00
0.000000000000000000e+00,-1.479804628800137755e-03,-9.793566398039917686e+00
0.000000000000000000e+00,-1.479804707945496208e-03,-9.793566399464650019e+00
0.000000000000000000e+00,-1.479804787090852926e-03,-9.793566400889382351e+00
0.000000000000000000e+00,-1.479804866236208126e-03,-9.793566402314114683e+00
0.000000000000000000e+00,-1.479804945381562025e-03,-9.793566403738848791e+00
0.000000000000000000e+00,-1.479805024526914623e-03,-9.793566405163575794e+00
0.000000000000000000e+00,-1.479805103672265486e-03,-9.793566406588309903e+00
0.000000000000000000e+00,-1.479805182817614832e-03,-9.793566408013042235e+00
0.000000000000000000e+00,-1.479805261962962443e-03,-9.793566409437776343e+00
0.000000000000000000e+00,-1.479805341108308969e-03,-9.793566410862506899e+00
0.000000000000000000e+00,-1.479805420253653978e-03,-9.793566412287239231e+00
0.000000000000000000e+00,-1.479805499398997252e-03,-9.793566413711969787e+00
0.000000000000000000e+00,-1.479805578544339225e-03,-9.793566415136703895e+00
