accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.390500949657250650e-02,5.578007291816445418e-04,-9.794038176412273700e+00
5.384072312296431934e-03,5.632458717971456502e-03,-9.798867727099821678e+00
1.771885364255676790e-03,-6.475228102453045370e-04,-9.790850075756200255e+00
-2.716821870293757973e-03,2.831246414896500339e-03,-9.795935096013801413e+00
4.192889495681967793e-04,-4.374664545678493173e-03,-9.792679876192124766e+00
2.666717760767690470e-03,6.606600015655420335e-03,-9.800377388037903259e+00
-3.998519042757111945e-03,-1.688886858185951242e-03,-9.788839640348122373e+00
-1.913868515321074651e-03,-4.454997237708576384e-03,-9.794171693536588563e+00
8.467369562430826502e-03,-2.629752947472878757e-03,-9.792246662896273435e+00
-4.174406221009158320e-03,4.902678408186368110e-03,-9.790644165823032097e+00
7.211114566495446495e-04,-3.225689417325260187e-03,-9.796530249577733329e+00
7.047745946782445203e-03,-7.286045757647096645e-03,-9.789477866146254925e+00
-1.138407427662834913e-04,-3.630402162885803391e-03,-9.793875863819547334e+00
-2.090548443395338039e-04,-8.130409640070085375e-03,-9.795702206402271628e+00
1.017312330366251100e-02,2.302569161711768512e-03,-9.787485146330789476e+00
-5.608308722791162208e-03,-4.868605778800172597e-03,-9.797780029683249126e+00
-5.134284819281902112e-03,3.173400328338494680e-03,-9.797216292699046036e+00
-6.757897038677159471e-04,-4.004998241601400409e-03,-9.788701383620171725e+00
-4.039275120781315662e-03,-2.312066657737380394e-03,-9.793188953696027710e+00
-7.803895328478350352e-03,-5.010813692811735311e-03,-9.794508857536236235e+00
-9.118090886255658407e-04,-5.124047862137563226e-03,-9.798305189777133606e+00
1.978142133524415924e-03,1.582578296002627206e-03,-9.793394297641773605e+00
5.017848438800712879e-03,1.398894714222945895e-02,-9.789102536507813923e+00
-7.371256381958757450e-04,-9.241977501486185438e-04,-9.786690884842599303e+00
-2.327287673940724774e-03,5.252509722911436266e-03,-9.789889465534427515e+00
-5.477204223960258382e-04,-3.186915712440773277e-03,-9.795529758688079625e+00
1.888667287119521858e-03,-7.025851324485452888e-03,-9.795179110577709736e+00
2.372771396426853665e-04,-2.949891358254684657e-03,-9.789327049311312479e+00
1.054100014135325378e-03,4.517175113873075909e-03,-9.797674706060135463e+00
-1.210402894642956077e-02,5.621334869521223652e-03,-9.792329213704977775e+00
1.402292203463925040e-03,-3.706337328733047814e-04,-9.793236355727566789e+00
-1.098724066460488079e-03,1.132300301155444999e-02,-9.799523279164391809e+00
-1.189025914449030408e-03,5.233429591530668577e-03,-9.795435777768627617e+00
-1.422502958407764794e-03,1.376130588201303784e-03,-9.800089135141808683e+00
1.601901909026091355e-03,3.578247187482856608e-03,-9.801458497289146976e+00
1.294561928749602677e-03,6.657253952996226333e-03,-9.783666602892933994e+00
-8.657044370011219387e-04,3.908979595689881029e-03,-9.794383329537243554e+00
-6.287091534330585714e-03,8.326791869814711630e-03,-9.792746639919696960e+00
-7.373316407390207924e-03,2.561283691685449070e-03,-9.793848462198381455e+00
-2.610260546313076906e-03,6.958987198543532988e-03,-9.795875585095107141e+00
3.465112597332757269e-03,-6.252372732715759558e-03,-9.801465219586967592e+00
-3.487584259170388012e-03,4.723596503342339208e-03,-9.796157409543736705e+00
-1.001632113984399913e-02,5.608665796116126673e-03,-9.804991657097303914e+00
-2.257403211490278255e-03,4.099122825292940073e-03,-9.789309674872690437e+00
-4.115363569270441037e-03,7.300554263117407100e-03,-9.788080914645343356e+00
