accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-2.703380619766932672e-04,-3.383948724233682478e-03,-9.799627276633065875e+00
-9.171272346528734087e-06,-7.210055297355527290e-03,-9.799930107504197352e+00
-5.162766142553487300e-03,-7.068182058878597421e-03,-9.793062044266234167e+00
6.826156744811244688e-03,4.512570645667431449e-03,-9.799144792321472508e+00
2.629458179163742318e-03,-4.936070114547766105e-03,-9.794917226638961694e+00
-9.021511558365407149e-03,3.883925949945115502e-03,-9.796217209934273029e+00
4.691028380420549093e-03,7.535218268769198514e-03,-9.798342233671764490e+00
5.866685688924785230e-03,3.995119964251831260e-03,-9.796887399233273896e+00
5.555366116472404588e-03,-6.911511919457864403e-03,-9.790534146340737820e+00
-8.383119146318963530e-03,7.034994682669122872e-05,-9.794551614330659461e+00
-1.057738121738508071e-02,-7.542572758351912508e-03,-9.790069154197542645e+00
8.826524185037744330e-03,6.889685132368011944e-03,-9.799729400220124731e+00
-8.106562045583040913e-04,-6.192059055214125564e-03,-9.783201586953747864e+00
-8.801179326311693715e-04,9.168125194584837018e-03,-9.786211037684433123e+00
-4.981371475856791534e-03,-3.723565531689865607e-03,-9.791146459271056202e+00
-3.722238646778843266e-03,2.658710388833903770e-03,-9.798878911881274689e+00
-1.202474934808774910e-03,1.524647379296450653e-03,-9.791529720724224006e+00
-3.914806756392442445e-03,-1.402235824422991620e-02,-9.793730887780833783e+00
2.646953420066308193e-04,1.194852163815985236e-03,-9.794406723005877780e+00
-1.202657480781601585e-03,2.247514118198186851e-03,-9.797871170514348194e+00
-9.784988010263376626e-04,-5.128952239039377692e-03,-9.782820820835906872e+00
3.828143056771236580e-03,8.723223106279934941e-03,-9.798963889654983106e+00
4.745713491016166538e-05,1.304043532605085858e-03,-9.791366603556985737e+00
-3.294273741182451691e-03,-3.196900597098140378e-03,-9.801057743220626506e+00
-6.199236066809752504e-03,-1.424781700485614681e-04,-9.784635810120819954e+00
-1.926031721840326368e-03,1.040808347306037586e-02,-9.796257293941920352e+00
9.699453537812677880e-04,7.073650134152668911e-03,-9.790103339782614711e+00
1.058917979522894931e-02,3.812570964554443521e-04,-9.792225317662463624e+00
-6.874865258776784692e-03,2.349806093657568591e-04,-9.795514835492255656e+00
5.892964713113835878e-03,-3.032395780535880841e-04,-9.801402751043884365e+00
-4.538160101205619690e-03,2.545837282107736056e-03,-9.800235904736604553e+00
-3.588365483784637774e-05,-1.302868053631314011e-04,-9.788833729572390396e+00
1.981513640787760811e-03,-4.709697105361042475e-03,-9.791923145742105206e+00
5.409959275667402742e-04,3.384815587743707655e-03,-9.798613046687785655e+00
9.281831264511158572e-03,-4.994845468227461505e-03,-9.799077428757341224e+00
8.719714527761030995e-03,7.061200214139765063e-03,-9.789539747359555122e+00
2.786037874510499928e-03,5.530831454339057637e-03,-9.797228610319425712e+00
8.130614993982794927e-03,-8.500759961038517956e-03,-9.789552769628262041e+00
1.309424347623113784e-04,-2.783970405404940281e-03,-9.788668389836134409e+00
-4.437346512554819766e-03,-2.197912735867143478e-03,-9.792335531272417626e+00
2.214051968965072541e-03,-9.433052070106874229e-03,-9.796522393945705787e+00
-1.177539684160151291e-02,5.111954521242792135e-03,-9.793911289972689005e+00
-5.027308152093603634e-03,8.595694075521549161e-04,-9.789859924951704429e+00
1.938463863106758723e-04,4.364311843290166922e-03,-9.790602320805319891e+00
8.720113671308281356e-03,7.015941672848849051e-03,-9.799023425510863916e+00
-1.038943005028760726e-02,-7.815628435874013777e-03,-9.790565782233910497e+00
