gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.045003072852354364e+01,1.144700235252458924e+02,1.598513608222036364e+00,9.521046955112640042e-03,4.762835198916186286e-02,7.003039660847808212e-02
3.044998546210350199e+01,1.144700449799915418e+02,7.056480812346140219e+00,-3.089787423297466612e-02,-6.184780324963619347e-02,-1.023223209147583641e-02
3.045000388536047353e+01,1.144700668823423797e+02,-4.550178224810108585e-01,-8.864513128833295674e-03,7.349717148173127990e-02,-6.300042884331377713e-03
3.044988893335067104e+01,1.144699999880084249e+02,-1.234762752839058342e+00,3.509718049030585013e-02,1.568736034774323995e-01,2.393520809451403497e-02
3.044990607862685295e+01,1.144699601304526055e+02,-2.456843121528070384e+00,2.251196252662024735e-02,2.886156494569727671e-02,-2.911553201594765938e-02
3.044999557518564970e+01,1.144699947241939668e+02,-5.168211287905998041e+00,1.085691747485559855e-01,-5.855584966159362026e-02,-2.290321966439506918e-02
3.044999821195921186e+01,1.144699562149957330e+02,-6.659409954091631612e+00,-2.150032150760401370e-02,3.196195598378048786e-02,-1.036247625259542442e-02
3.044988808090719701e+01,1.144699859097561614e+02,-3.505452487479114421e+00,1.689424717143565846e-02,7.914975998959380976e-02,6.739771928240538557e-03
3.044991039173319081e+01,1.144699546357671665e+02,-7.265711835839328003e+00,3.324478252993682409e-02,-1.389543371643810199e-01,3.198679449682123588e-02
3.045003702232181553e+01,1.144700243255277741e+02,-3.992136668291926260e-01,-6.170843581582920352e-03,1.282273608948356763e-02,-1.133580297407247401e-03
3.044996611009139542e+01,1.144700900508023409e+02,1.758035784112458755e+00,-5.902961552086109093e-02,7.190218501696402087e-02,-4.775891010168832607e-02
3.045000908347402557e+01,1.144699128208554697e+02,9.569127629182663242e+00,-6.065129679369105509e-04,-7.362684113744835668e-02,-8.277640601999479084e-03
3.045000442160607790e+01,1.144700354956285935e+02,2.351511944807575638e+00,-2.785906742762776626e-04,1.745885769655465269e-01,4.632495402525029296e-03
3.044997626991905904e+01,1.144699452026244728e+02,2.562113521814223471e+00,4.181424232425497156e-02,6.345304130625828432e-02,-1.307369776160051747e-02
3.045007908520013373e+01,1.144700239608042551e+02,1.615256457668654333e+00,2.933521732243586991e-02,2.655885228506462900e-02,-6.404157501930472784e-02
3.045001694466854403e+01,1.144699463348871546e+02,1.475259589623045287e+01,-1.026457971440269262e-02,3.141751476611280743e-03,6.836958559547892667e-02
3.045004163695209698e+01,1.144700486398605790e+02,-1.079786397822718058e+01,3.854020562531362826e-02,9.342037636856337368e-02,-5.259430873620122432e-02
