gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.503794545589019066e-02,3.728950350151650356e-02,-6.296671190973854304e-02
3.802143937142629659e-02,6.000973687639492293e-02,6.453237302872019687e-02
2.391644653334721801e-02,-5.212566268752052284e-02,-2.108798495574189247e-02
5.002045534896980977e-02,5.263148554131291679e-04,7.984661554223801416e-02
-1.512934596037887255e-02,-7.662807392378307575e-03,1.668031698844369207e-02
1.479834665438346519e-01,7.162895368836802446e-02,1.599131144286668887e-02
4.146786928747153711e-02,-5.759063669742255087e-02,7.109266590731569933e-03
5.854903243295529053e-02,2.773739140858427071e-02,1.560784851374936479e-02
1.360980227091419369e-03,-6.822814929221883429e-02,5.634784180253898066e-03
2.044260883547677904e-02,-7.725692654772214028e-03,5.065517252588794261e-02
6.631666252384263438e-02,1.031178156004606411e-02,5.653243064587969158e-03
6.314654321643359269e-02,1.193920549664605722e-02,-1.287078760433436539e-02
2.333374268853245781e-02,1.001981458464495794e-01,-1.895447116603999824e-02
-4.707025756899149704e-02,3.391450881832541297e-03,-2.616995664663337648e-02
-5.792016209944442912e-02,-4.887241818836904599e-04,2.744167076831365015e-02
-1.762004193001475566e-02,-2.117208302169205913e-02,-2.542167038675180457e-02
1.496205033381119674e-02,3.924423594942896831e-02,-2.525671914527225642e-02
-4.587176832378203617e-02,8.537057222491510611e-02,-5.359998770292218051e-02
-1.678357480015545827e-02,2.658923860189862237e-02,5.846559375562462857e-02
5.925547331371256582e-03,5.384735178576188427e-03,-1.784082401701624077e-02
-3.855407532696217277e-02,9.204532367184645181e-02,-9.176917999370083623e-02
-9.447683054760215582e-03,6.948240258965853594e-03,6.228834013241475037e-02
4.617750877289399786e-02,-2.970010865549196216e-02,-3.600056136827697872e-02
-1.691417041301326515e-02,-2.806786978947302044e-02,-4.085419397466785729e-02
3.094151088721578194e-02,-3.923728581657792008e-02,3.379770440629868006e-02
-1.922106139579999803e-02,-1.126137669813272596e-01,-2.817199344420668813e-02
1.562177445530057995e-02,2.687258012687768899e-02,-1.103010828350767941e-03
1.855395377432107057e-02,1.569868438211202005e-02,-8.146748570785558585e-02
2.488162258626334597e-02,-3.904081044994853981e-03,-1.342739253692355229e-02
1.677938016532272078e-02,5.477133557670031683e-02,-2.619865495137949432e-02
6.062985071315245972e-02,2.716985634789957985e-02,-6.079228334859036742e-02
6.740025063929970528e-02,-5.309343852598698288e-02,5.351343585545916687e-02
-3.835531626600377497e-02,-7.070071903615485209e-03,3.704276196833807683e-02
-1.051948935769543569e-02,-1.514995921062752514e-02,-4.231128384973579376e-02
-1.401407993065487308e-02,-2.107843168183970092e-02,-1.372669710654325463e-02
5.929553538964977416e-02,2.629366625881602790e-03,-9.712806585366379544e-03
3.540323785904518281e-03,-4.238281558077728467e-02,-4.922605671937575061e-02
-1.206350448385369936e-02,3.220225651141814249e-02,-2.628405423712895997e-02
-2.107876617721631332e-02,-1.979234797992289463e-02,4.565151987920408605e-02
1.137055757747978957e-02,5.040261210632353966e-02,-8.239753471012263575e-02
6.198992927969023542e-02,-3.747945059145285380e-03,-1.559897765857215339e-02
2.877102042448265520e-02,-2.751600388116340334e-02,7.394402328900666690e-03
-1.362499154942390864e-02,5.673657930222394952e-02,1.719871734843956765e-02
4.315657776310917113e-03,7.644803457077940789e-02,-3.751498697025450299e-04
-6.712501333716658358e-02,1.945809515433193429e-02,-2.886879430182286502e-02
-3.943689987321672558e-02,1.279122061205407220e-03,-4.428000259892886370e-02
-1.716340657432346636e-03,3.663869451788870357e-02,-4.849422881751469516e-02
-2.338760107379768763e-02,-3.069047693134041924e-02,5.799511874444802234e-02
8.216797999599888269e-02,2.626252995142668023e-02,-4.323461238609877660e-02
6.393467399687574604e-02,2.859468437118826978e-02,1.831633124531585610e-02
2.224671529442630302e-02,-1.844538632728815256e-02,2.315042632711292441e-03
4.509990577349090590e-02,-1.108238746020999421e-02,-1.502320542903436487e-02
-6.683692397640665639e-02,2.969428889738310803e-02,-5.050963463162092687e-02
-2.316939165785344285e-03,4.809283282515518926e-02,-3.619046734387556391e-02
7.487818999161184597e-03,3.372215660262815190e-02,-1.702558359841337479e-02
7.751216882645711737e-02,7.804136445469988734e-03,3.094755271613271533e-02
-3.092552653711752933e-02,-1.794495732403096969e-02,7.259946224476206134e-02
-4.618472909048337155e-02,-1.366422938532834211e-02,-3.104041624161150981e-02
-1.788364252017247968e-02,1.590509883897060078e-02,6.513186108302623789e-02
3.115309271424698476e-02,-7.755711219354495707e-03,-2.543194020200406635e-02
-8.204692962462919667e-03,1.864016886352254029e-02,-3.878382924289405526e-03
-4.095378225908477901e-03,-3.124739611231965291e-03,1.228524861638089979e-02
5.059477998136916593e-03,5.789200381370331050e-02,-5.438322918355361496e-02
6.429054826535969547e-02,-9.997610187951755378e-02,4.272660901221043278e-02
1.926596274237735162e-02,2.554723571739135612e-02,1.263709032245532646e-02
9.121962727325501341e-02,1.863669496691801319e-02,3.099654472925949047e-02
-1.957934558294769853e-02,4.337680063712297945e-02,-5.519896963869974638e-02
2.551856747409009599e-02,-5.223453600576561523e-02,7.160720564232099516e-02
-5.787792200919622022e-04,1.332361925197041684e-02,-6.834181818460012547e-02
-3.774599001488801453e-02,6.095582595623270754e-03,-8.195282631639879203e-03
-1.648484258992936533e-02,-5.073265845238397048e-04,2.859268157952619613e-02
-4.705790666761187771e-04,-1.025218738330077872e-01,-9.580798279148393382e-02
5.090446664785178849e-02,9.880294121131188989e-02,-4.572933518309341833e-02
-1.606613364290450027e-02,-7.163539186039736585e-03,-3.954466105989050233e-03
4.863517999334535796e-02,-3.361842350702538840e-02,6.696086977418191054e-03
-7.045425311687657233e-02,-1.227356194544202035e-02,3.714982860407910897e-02
-1.359197865694338099e-02,-7.392113761096019177e-03,-4.551947059263999201e-02
-2.486356799748929217e-02,2.210786984577868888e-02,-1.025028735186139491e-03
1.628559020745278321e-02,-5.521830627081513593e-02,3.593979034336473866e-02
8.276806698294349174e-02,8.538410762356514038e-04,-2.384272881535089497e-02
-2.925690859420626219e-02,8.556404634848921442e-02,2.561334705620876145e-03
6.295390312968265900e-02,-3.252099986382070429e-02,-8.822341065903847868e-02
