accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
8.415645244471832778e-03,3.559862094420098485e-03,-9.796422237052940574e+00
1.650324317625415441e-03,-8.421688209384480331e-03,-9.789325099529207819e+00
4.008087183229371367e-03,9.320350137987643262e-04,-9.792979338513498888e+00
-7.257688437921894047e-03,-1.780595339511129981e-03,-9.791798270436995466e+00
-8.021350218075063224e-03,-2.427682323082046810e-03,-9.797029749941021493e+00
-6.315498391111789775e-03,-4.458829993294700922e-03,-9.790007405070813462e+00
-8.058987696500432077e-03,1.091176482317377568e-03,-9.797010344603522825e+00
-4.344074761301327386e-03,-9.402859164673142700e-03,-9.797122121248515114e+00
7.060856156648865440e-04,6.455897011935642950e-03,-9.796442854090265939e+00
5.759583995928360158e-03,2.758411633332750069e-03,-9.787075796479744128e+00
3.187441725528305028e-03,3.179294364864483288e-03,-9.793260412988004759e+00
-2.429540232008099796e-03,-5.000859982005611236e-03,-9.788678234143985080e+00
-1.738058336368614610e-03,-2.030473884032467976e-03,-9.799565678853383588e+00
1.270795765092453712e-03,2.111209805021712661e-03,-9.792430594333239924e+00
-2.811817015545590732e-03,3.150271406031348795e-04,-9.792401046254797237e+00
-3.705379662275493959e-03,-3.310749504976493330e-04,-9.782419261367024887e+00
-7.231055380433729128e-04,-1.364339935024050203e-02,-9.792480593350534335e+00
6.164375766239849064e-03,-6.235502355414718895e-03,-9.796055192128820366e+00
-5.121823739925435333e-03,-1.389965745302091911e-03,-9.797986768113622347e+00
-1.228549658086133117e-02,-6.799131401535050793e-03,-9.797637017222745826e+00
6.153545042493623485e-04,-9.061258393010085399e-03,-9.795959349249056203e+00
-9.778321162772221024e-04,6.481775560691339227e-03,-9.802817226786194382e+00
-5.486541576504550856e-03,5.781592069054599173e-03,-9.788093590876343342e+00
5.601321655207418086e-03,1.023661107628575512e-02,-9.794267822124917089e+00
2.713083604679194984e-03,-4.607806136554981613e-03,-9.793803463266140596e+00
