gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.044995333276659721e+01,1.144699679525176634e+02,-8.928041843683450551e+00,2.004378086044390628e+01,9.558976387603309102e-03,2.087913859195567046e-02
3.045022584484394201e+01,1.144699760947807761e+02,6.954325110383280162e+00,2.009202870195866453e+01,6.299531523782550893e-03,-1.525979865569917007e-02
3.045039519030799013e+01,1.144699758432372363e+02,1.073553964832891117e+00,2.005192988027519974e+01,-6.196629703555055733e-05,-1.244004920582363234e-02
3.045053427466788065e+01,1.144700303093389664e+02,4.895751446946530749e-02,2.001041507046780055e+01,1.502404798938031250e-02,4.234149042918620466e-03
3.045071536503080267e+01,1.144700838104004816e+02,9.139470215507506268e+00,2.005926911578370664e+01,1.494983105740263843e-03,4.749932751447142470e-02
3.045092584098749811e+01,1.144700262404932261e+02,-1.996330044139540405e+00,1.998611977055350764e+01,4.851011658869168984e-03,-2.033217374603071489e-02
3.045111026442531355e+01,1.144700473615591818e+02,-6.559259570637680170e+00,1.994111944861209196e+01,1.005069069895206738e-02,4.152471306141289342e-02
3.045127186357322202e+01,1.144699952819514266e+02,8.403426462859814094e+00,2.009117007404658395e+01,-9.433707312267790301e-02,3.130653705173437173e-03
3.045145097664447675e+01,1.144700107320160072e+02,1.468043565324824440e-01,2.001237478206051179e+01,1.527678425909707004e-03,9.813644264257466443e-03
3.045159814821885291e+01,1.144700107016200405e+02,1.518947727110290469e+00,1.999071448796064132e+01,-1.441470934156080866e-02,1.713123793201422719e-03
3.045179222591095680e+01,1.144699341983324672e+02,-3.141731210161887944e+00,1.997081284387336098e+01,1.400296927635755195e-02,-1.321685619298888781e-01
3.045197400112979835e+01,1.144699559517718086e+02,3.999725344171767727e+00,1.992571060824111484e+01,3.021067674106964196e-02,1.102931267793491946e-02
3.045221965355559490e+01,1.144700249092204842e+02,1.495674910440746608e+01,1.997959421009603531e+01,-2.611423276703062069e-02,-1.835495607398348814e-02
