gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
4.220357418028024971e-02,6.451996878978447092e-02,-6.953880198631870457e-03
-5.614175725353849622e-02,8.782474529030021015e-02,-3.111072665563935358e-02
-5.219791081498841023e-02,-7.767782705675550792e-02,-2.540229809370204983e-02
2.275903864672366300e-02,7.808623762403163471e-02,-2.177703227835928873e-02
-8.805105632836469909e-02,-3.169362062314017773e-04,-3.855919789993064034e-02
4.090106640738439686e-02,4.055462524002044489e-02,3.178165895379490152e-02
-4.573990429301391311e-03,-2.430800314250518984e-02,-1.734287673806060581e-02
4.591886956228215244e-02,2.187041883446558949e-02,-1.071414353919498616e-02
1.911065112736905561e-02,-3.320996167880471001e-02,2.481095260447099132e-02
-8.898749463281915503e-03,1.114310968346534335e-02,1.742498305070860377e-03
-2.759855402311090292e-02,6.311415410563842032e-02,-7.878439158884052718e-02
-4.028423650540501055e-02,-2.816963431517306368e-02,3.398115996128849708e-02
2.392835315898861337e-02,3.997071246896471280e-02,-2.989878332200518463e-02
-7.283684122634595526e-02,-5.469172223513456971e-02,-2.359337601767375753e-02
1.756631932724477332e-02,2.170947715962945335e-02,7.142840081384228476e-03
4.394450996314408497e-02,-1.432101298942618610e-02,-7.336601151524776987e-02
-2.604454222171800198e-02,3.842255898967045918e-03,4.429164601070774074e-03
3.369638986665934866e-02,-2.786278140814476938e-03,-2.958954869569970642e-02
-1.044856735695436772e-02,-1.079218625766184721e-02,-1.926430367927387324e-02
-2.696532646675365089e-02,-3.862904023246742369e-02,3.213078182674032612e-02
-9.740369935309194094e-02,-6.925617352755517042e-02,-9.295594588377199818e-02
3.077812280071217169e-02,6.315222090218887419e-02,-3.096163595988411094e-02
-2.969051835676611573e-02,1.149418753860892775e-02,-2.614602816277858746e-02
6.712315298778002981e-02,-1.825225152011633600e-02,-1.459412941263724508e-03
5.159187206481140320e-02,3.289137359647285874e-02,2.709051714288768578e-02
2.290550301585300014e-02,-3.785602772836736685e-02,-2.106482627553791023e-02
9.214839574382893694e-02,-1.309122544966925469e-02,1.816893674160506567e-02
3.140775834297028762e-03,1.234583380314242529e-01,9.095093549691115817e-03
3.129389917591068188e-02,-9.023322658119080353e-03,2.753680698232256838e-03
-1.975898031017949211e-02,3.657788135818122732e-02,4.091369151474007898e-02
-2.393022575411596266e-03,-1.415838976687723919e-02,-6.496988466382504213e-02
2.107145924942415132e-03,-1.437693106625588697e-02,-2.744797272947223019e-02
1.761238482749813688e-03,5.377170751767744970e-03,-2.919972353840313839e-02
4.667239634298601947e-02,-3.651581177137453588e-02,3.612002450365242590e-02
-2.495225403344670037e-02,-8.806131859278892209e-04,1.466026142451987146e-02
-5.723582405813571611e-02,1.353100500322314617e-02,-9.296181792231628105e-03
-6.052038423941902973e-02,2.806364914280602002e-02,-7.074991169771221999e-02
7.040019046742015951e-02,5.730617222053073501e-02,-5.106037739774130224e-02
-5.120243303642265861e-03,-3.327563451454195603e-02,1.065326111997137899e-02
1.029152031779373838e-01,-1.589944595230191604e-02,6.638647018068730143e-02
-1.488060374589154217e-02,4.443796869434504110e-02,1.102123271626999357e-01
7.033562822459792259e-03,-3.945853081732471346e-02,-5.343023824254485021e-02
-2.203827863144582760e-02,-1.708350100661034168e-02,6.398904375884703621e-02
-2.288646712828129245e-02,-2.106312927211897654e-02,-2.078624721696079383e-02
2.001803534181735914e-02,4.092478681836143883e-02,-4.928170735073477728e-03
7.911829116093653524e-02,-2.238823267433257339e-02,-3.861719031494594695e-02
-3.763601662250459085e-02,-3.428037667378539682e-02,-6.007621656098108276e-02
-4.900200138048326631e-03,5.549627356644952492e-02,-4.020245033474329627e-02
1.610062122826365176e-03,2.924870226874353579e-02,-3.246091942676239406e-02
-1.675683737235304782e-02,1.982716049538204087e-02,7.910464205756621847e-02
-3.568996822391189150e-02,-9.057560691640291137e-03,2.382270828105256116e-02
3.251165931483942367e-02,-1.413624927419363658e-02,3.069514616167636281e-02
5.026376249015750142e-02,-5.427436939784257425e-02,-1.315935945902700979e-02
-4.418016730595274687e-03,5.599494696337654898e-02,-7.898846670692200728e-03
-9.660512812585994591e-02,-7.220938608721347296e-02,-8.547354582526763001e-03
-1.006448309184799217e-01,-3.680441735656737878e-02,-2.374271969394212145e-02
5.409795326163200496e-02,4.659899702107059283e-02,8.217503328403756580e-03
