ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-1.478217465158571369e-03,-9.793537842174435681e+00
0.000000000000000000e+00,-1.478217504746170193e-03,-9.793537842886301803e+00
0.000000000000000000e+00,-1.478217544333768800e-03,-9.793537843598169701e+00
0.000000000000000000e+00,-1.478217583921366974e-03,-9.793537844310035823e+00
0.000000000000000000e+00,-1.478217623508965147e-03,-9.793537845021903721e+00
0.000000000000000000e+00,-1.478217663096562454e-03,-9.793537845733768066e+00
0.000000000000000000e+00,-1.478217702684159977e-03,-9.793537846445637740e+00
0.000000000000000000e+00,-1.478217742271756632e-03,-9.793537847157502085e+00
0.000000000000000000e+00,-1.478217781859353288e-03,-9.793537847869371760e+00
0.000000000000000000e+00,-1.478217821446949076e-03,-9.793537848581234329e+00
0.000000000000000000e+00,-1.478217861034544865e-03,-9.793537849293104003e+00
0.000000000000000000e+00,-1.478217900622140219e-03,-9.793537850004970124e+00
0.000000000000000000e+00,-1.478217940209735357e-03,-9.793537850716838022e+00
0.000000000000000000e+00,-1.478217979797329627e-03,-9.793537851428704144e+00
0.000000000000000000e+00,-1.478218019384923898e-03,-9.793537852140572042e+00
0.000000000000000000e+00,-1.478218058972517734e-03,-9.793537852852438164e+00
0.000000000000000000e+00,-1.478218098560110921e-03,-9.793537853564306062e+00
0.000000000000000000e+00,-1.478218138147704541e-03,-9.793537854276172183e+00
0.000000000000000000e+00,-1.478218177735297076e-03,-9.793537854988036528e+00
0.000000000000000000e+00,-1.478218217322889612e-03,-9.793537855699907979e+00
0.000000000000000000e+00,-1.478218256910481280e-03,-9.793537856411770548e+00
0.000000000000000000e+00,-1.478218296498072949e-03,-9.793537857123640222e+00
0.000000000000000000e+00,-1.478218336085664400e-03,-9.793537857835504568e+00
0.000000000000000000e+00,-1.478218375673254984e-03,-9.793537858547374242e+00
0.000000000000000000e+00,-1.478218415260845568e-03,-9.793537859259238587e+00
0.000000000000000000e+00,-1.478218454848435936e-03,-9.793537859971108261e+00
0.000000000000000000e+00,-1.478218494436025219e-03,-9.793537860682974383e+00
0.000000000000000000e+00,-1.478218534023614935e-03,-9.793537861394840505e+00
0.000000000000000000e+00,-1.478218573611203785e-03,-9.793537862106710179e+00
0.000000000000000000e+00,-1.478218613198792634e-03,-9.793537862818574524e+00
0.000000000000000000e+00,-1.478218652786380833e-03,-9.793537863530442422e+00
0.000000000000000000e+00,-1.478218692373968815e-03,-9.793537864242306767e+00
0.000000000000000000e+00,-1.478218731961556147e-03,-9.793537864954176442e+00
0.000000000000000000e+00,-1.478218771549143478e-03,-9.793537865666040787e+00
0.000000000000000000e+00,-1.478218811136730159e-03,-9.793537866377910461e+00
0.000000000000000000e+00,-1.478218850724316406e-03,-9.793537867089776583e+00
0.000000000000000000e+00,-1.478218890311902437e-03,-9.793537867801642705e+00
0.000000000000000000e+00,-1.478218929899488467e-03,-9.793537868513512379e+00
0.000000000000000000e+00,-1.478218969487073630e-03,-9.793537869225378500e+00
0.000000000000000000e+00,-1.478219009074658577e-03,-9.793537869937246398e+00
0.000000000000000000e+00,-1.478219048662242872e-03,-9.793537870649110744e+00
0.000000000000000000e+00,-1.478219088249827168e-03,-9.793537871360978642e+00
0.000000000000000000e+00,-1.478219127837410813e-03,-9.793537872072848316e+00
0.000000000000000000e+00,-1.478219167424994242e-03,-9.793537872784712661e+00
0.000000000000000000e+00,-1.478219207012577670e-03,-9.793537873496580559e+00
0.000000000000000000e+00,-1.478219246600160014e-03,-9.793537874208446681e+00
0.000000000000000000e+00,-1.478219286187742575e-03,-9.793537874920314579e+00
0.000000000000000000e+00,-1.478219325775324486e-03,-9.793537875632184253e+00
0.000000000000000000e+00,-1.478219365362906179e-03,-9.793537876344048598e+00
0.000000000000000000e+00,-1.478219404950487439e-03,-9.793537877055918273e+00
0.000000000000000000e+00,-1.478219444538068049e-03,-9.793537877767784394e+00
0.000000000000000000e+00,-1.478219484125648442e-03,-9.793537878479652292e+00
0.000000000000000000e+00,-1.478219523713228617e-03,-9.793537879191516637e+00
0.000000000000000000e+00,-1.478219563300808143e-03,-9.793537879903386312e+00
0.000000000000000000e+00,-1.478219602888387885e-03,-9.793537880615252433e+00
0.000000000000000000e+00,-1.478219642475966759e-03,-9.793537881327118555e+00
0.000000000000000000e+00,-1.478219682063545200e-03,-9.793537882038988229e+00
0.000000000000000000e+00,-1.478219721651123425e-03,-9.793537882750856127e+00
0.000000000000000000e+00,-1.478219761238700998e-03,-9.793537883462722249e+00
0.000000000000000000e+00,-1.478219800826278789e-03,-9.793537884174590147e+00
0.000000000000000000e+00,-1.478219840413855929e-03,-9.793537884886456268e+00
0.000000000000000000e+00,-1.478219880001432635e-03,-9.793537885598325943e+00
0.000000000000000000e+00,-1.478219919589008908e-03,-9.793537886310192064e+00
0.000000000000000000e+00,-1.478219959176584747e-03,-9.793537887022058186e+00
0.000000000000000000e+00,-1.478219998764160803e-03,-9.793537887733927860e+00
0.000000000000000000e+00,-1.478220038351735991e-03,-9.793537888445793982e+00
0.000000000000000000e+00,-1.478220077939310963e-03,-9.793537889157661880e+00
0.000000000000000000e+00,-1.478220117526885067e-03,-9.793537889869529778e+00
0.000000000000000000e+00,-1.478220157114459388e-03,-9.793537890581395899e+00
0.000000000000000000e+00,-1.478220196702033275e-03,-9.793537891293263797e+00
0.000000000000000000e+00,-1.478220236289606512e-03,-9.793537892005133472e+00
0.000000000000000000e+00,-1.478220275877179532e-03,-9.793537892716999593e+00
0.000000000000000000e+00,-1.478220315464752119e-03,-9.793537893428867491e+00
0.000000000000000000e+00,-1.478220355052324705e-03,-9.793537894140733613e+00
0.000000000000000000e+00,-1.478220394639896424e-03,-9.793537894852599734e+00
0.000000000000000000e+00,-1.478220434227467709e-03,-9.793537895564469409e+00
0.000000000000000000e+00,-1.478220473815038995e-03,-9.793537896276339083e+00
0.000000000000000000e+00,-1.478220513402610063e-03,-9.793537896988205205e+00
0.000000000000000000e+00,-1.478220552990180264e-03,-9.793537897700071326e+00
0.000000000000000000e+00,-1.478220592577750032e-03,-9.793537898411941001e+00
0.000000000000000000e+00,-1.478220632165319799e-03,-9.793537899123807122e+00
0.000000000000000000e+00,-1.478220671752889133e-03,-9.793537899835676797e+00
0.000000000000000000e+00,-1.478220711340458250e-03,-9.793537900547542918e+00
0.000000000000000000e+00,-1.478220750928026716e-03,-9.793537901259409040e+00
0.000000000000000000e+00,-1.478220790515594966e-03,-9.793537901971276938e+00
0.000000000000000000e+00,-1.478220830103162565e-03,-9.793537902683146612e+00
0.000000000000000000e+00,-1.478220869690730381e-03,-9.793537903395012734e+00
0.000000000000000000e+00,-1.478220909278297329e-03,-9.793537904106882408e+00
0.000000000000000000e+00,-1.478220948865863844e-03,-9.793537904818748530e+00
0.000000000000000000e+00,-1.478220988453430359e-03,-9.793537905530616428e+00
0.000000000000000000e+00,-1.478221028040996006e-03,-9.793537906242484326e+00
0.000000000000000000e+00,-1.478221067628562087e-03,-9.793537906954354000e+00
0.000000000000000000e+00,-1.478221107216127084e-03,-9.793537907666220121e+00
0.000000000000000000e+00,-1.478221146803692081e-03,-9.793537908378088019e+00
0.000000000000000000e+00,-1.478221186391256211e-03,-9.793537909089954141e+00
0.000000000000000000e+00,-1.478221225978820341e-03,-9.793537909801823815e+00
