ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.601799649885233882e-03,-1.804076222671866132e-04,-2.117390548902823612e-03
3.601799616550021253e-03,-1.804076222422231835e-04,-2.117390605607882229e-03
3.601799583214807757e-03,-1.804076222172597537e-04,-2.117390662312939979e-03
3.601799549879593394e-03,-1.804076221922962968e-04,-2.117390719017997729e-03
3.601799516544377730e-03,-1.804076221673328671e-04,-2.117390775723055046e-03
3.601799483209162066e-03,-1.804076221423694373e-04,-2.117390832428111061e-03
3.601799449873944667e-03,-1.804076221174059805e-04,-2.117390889133167510e-03
3.601799416538726401e-03,-1.804076220924425507e-04,-2.117390945838223092e-03
3.601799383203507701e-03,-1.804076220674791209e-04,-2.117391002543278240e-03
3.601799349868287699e-03,-1.804076220425156641e-04,-2.117391059248332087e-03
3.601799316533067265e-03,-1.804076220175522614e-04,-2.117391115953386367e-03
3.601799283197845529e-03,-1.804076219925888046e-04,-2.117391172658439780e-03
3.601799249862622492e-03,-1.804076219676253477e-04,-2.117391229363492760e-03
3.601799216527399889e-03,-1.804076219426619179e-04,-2.117391286068544438e-03
3.601799183192175551e-03,-1.804076219176985153e-04,-2.117391342773596117e-03
3.601799149856950346e-03,-1.804076218927350584e-04,-2.117391399478647795e-03
3.601799116521724707e-03,-1.804076218677716286e-04,-2.117391456183697739e-03
3.601799083186496900e-03,-1.804076218428081989e-04,-2.117391512888748550e-03
3.601799049851269526e-03,-1.804076218178447420e-04,-2.117391569593798061e-03
3.601799016516040852e-03,-1.804076217928812580e-04,-2.117391626298847137e-03
3.601798983180811743e-03,-1.804076217679178283e-04,-2.117391683003895346e-03
3.601798949845580466e-03,-1.804076217429543985e-04,-2.117391739708943555e-03
3.601798916510349623e-03,-1.804076217179909688e-04,-2.117391796413991330e-03
3.601798883175117479e-03,-1.804076216930274848e-04,-2.117391853119037805e-03
3.601798849839884901e-03,-1.804076216680640550e-04,-2.117391909824084279e-03
3.601798816504650155e-03,-1.804076216431005982e-04,-2.117391966529130320e-03
3.601798783169414975e-03,-1.804076216181371684e-04,-2.117392023234175493e-03
3.601798749834179362e-03,-1.804076215931737386e-04,-2.117392079939220666e-03
3.601798716498943315e-03,-1.804076215682102547e-04,-2.117392136644264539e-03
3.601798683163705533e-03,-1.804076215432468249e-04,-2.117392193349308845e-03
3.601798649828466450e-03,-1.804076215182833680e-04,-2.117392250054351849e-03
3.601798616493227367e-03,-1.804076214933199654e-04,-2.117392306759394421e-03
3.601798583157987416e-03,-1.804076214683565085e-04,-2.117392363464436558e-03
3.601798549822745298e-03,-1.804076214433930517e-04,-2.117392420169478262e-03
3.601798516487504046e-03,-1.804076214184295677e-04,-2.117392476874519099e-03
3.601798483152261060e-03,-1.804076213934661650e-04,-2.117392533579559935e-03
3.601798449817017207e-03,-1.804076213685027082e-04,-2.117392590284599471e-03
3.601798416481772486e-03,-1.804076213435392242e-04,-2.117392646989639873e-03
3.601798383146527331e-03,-1.804076213185757944e-04,-2.117392703694678541e-03
3.601798349811280442e-03,-1.804076212936123376e-04,-2.117392760399716776e-03
3.601798316476033119e-03,-1.804076212686489078e-04,-2.117392817104754577e-03
3.601798283140785362e-03,-1.804076212436854780e-04,-2.117392873809791944e-03
3.601798249805535871e-03,-1.804076212187219941e-04,-2.117392930514828443e-03
3.601798216470285946e-03,-1.804076211937585372e-04,-2.117392987219864943e-03
3.601798183135035587e-03,-1.804076211687950803e-04,-2.117393043924901009e-03
3.601798149799783060e-03,-1.804076211438316506e-04,-2.117393100629935774e-03
3.601798116464530967e-03,-1.804076211188681937e-04,-2.117393157334970973e-03
3.601798083129277139e-03,-1.804076210939047097e-04,-2.117393214040004870e-03
3.601798049794022443e-03,-1.804076210689412800e-04,-2.117393270745038768e-03
3.601798016458766880e-03,-1.804076210439778231e-04,-2.117393327450072232e-03
3.601797983123510884e-03,-1.804076210190143663e-04,-2.117393384155103961e-03
3.601797949788253586e-03,-1.804076209940509094e-04,-2.117393440860136124e-03
3.601797916452996288e-03,-1.804076209690874525e-04,-2.117393497565167853e-03
3.601797883117737690e-03,-1.804076209441239957e-04,-2.117393554270198715e-03
3.601797849782476923e-03,-1.804076209191605659e-04,-2.117393610975229577e-03
3.601797816447216589e-03,-1.804076208941971090e-04,-2.117393667680259137e-03
3.601797783111954955e-03,-1.804076208692336251e-04,-2.117393724385288264e-03
3.601797749776692887e-03,-1.804076208442701411e-04,-2.117393781090317392e-03
3.601797716441429518e-03,-1.804076208193066842e-04,-2.117393837795345218e-03
3.601797683106164848e-03,-1.804076207943432274e-04,-2.117393894500373044e-03
3.601797649770900177e-03,-1.804076207693797705e-04,-2.117393951205400436e-03
3.601797616435633773e-03,-1.804076207444163136e-04,-2.117394007910427395e-03
3.601797583100366934e-03,-1.804076207194528568e-04,-2.117394064615453486e-03
3.601797549765099662e-03,-1.804076206944894270e-04,-2.117394121320478710e-03
3.601797516429830221e-03,-1.804076206695259430e-04,-2.117394178025504801e-03
3.601797483094560780e-03,-1.804076206445624862e-04,-2.117394234730528724e-03
3.601797449759290906e-03,-1.804076206195990022e-04,-2.117394291435553081e-03
3.601797416424019297e-03,-1.804076205946355453e-04,-2.117394348140576137e-03
3.601797383088747254e-03,-1.804076205696720885e-04,-2.117394404845599192e-03
3.601797349753474344e-03,-1.804076205447086316e-04,-2.117394461550621814e-03
3.601797316418200133e-03,-1.804076205197451747e-04,-2.117394518255643569e-03
3.601797283082925488e-03,-1.804076204947816636e-04,-2.117394574960664889e-03
3.601797249747649542e-03,-1.804076204698182339e-04,-2.117394631665685777e-03
3.601797216412372729e-03,-1.804076204448547499e-04,-2.117394688370706664e-03
3.601797183077095482e-03,-1.804076204198912931e-04,-2.117394745075726250e-03
3.601797149741816934e-03,-1.804076203949278091e-04,-2.117394801780744969e-03
3.601797116406537085e-03,-1.804076203699643522e-04,-2.117394858485763687e-03
3.601797083071256803e-03,-1.804076203450008953e-04,-2.117394915190782840e-03
3.601797049735976086e-03,-1.804076203200374114e-04,-2.117394971895799824e-03
3.601797016400694069e-03,-1.804076202950739274e-04,-2.117395028600816374e-03
