ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.045000000000000284e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000090203811283e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000180407622636e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000270611433635e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000360815244989e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000451019055632e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000541222866630e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000631426677984e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000721630488982e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000811834299626e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000902038110624e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045000992241921978e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001082445733331e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001172649543619e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001262853354973e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001353057165971e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001443260976615e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001533464787968e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001623668598256e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001713872409610e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001804076220253e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001894280031252e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045001984483842605e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002074687653248e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002164891463536e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002255095274890e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002345299085533e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002435502896532e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002525706707175e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002615910517818e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002706114328817e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002796318139460e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002886521950103e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045002976725761101e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003066929571744e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003157133382388e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003247337192676e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003337541004029e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003427744814672e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003517948624960e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003608152435604e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003698356246247e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003788560056890e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003878763867178e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045003968967678531e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004059171489175e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004149375299818e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004239579110106e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004329782920749e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004419986731392e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004510190541325e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004600394351613e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004690598162256e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004780801972899e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004871005783542e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045004961209593830e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.045005051413404473e+01,1.144699999999999989e+02,0.000000000000000000e+00
