accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-2.791093182579892785e-05,-2.427772192397329321e-04,-9.787973999934479252e+00
8.184856350816199777e-03,-5.682615995809341472e-03,-9.786099736713813613e+00
1.289003888023290256e-03,-5.529406991338912600e-03,-9.789471244085087065e+00
5.998593681274389097e-04,6.749183424587283046e-04,-9.793817136095899656e+00
8.507192382744875950e-03,-8.810907326714219681e-03,-9.792962568757257458e+00
1.359868324579985256e-03,-4.272322838485090660e-03,-9.796733606593832633e+00
-1.377907257947371192e-03,3.595272253030144631e-03,-9.789909989207448149e+00
3.369780073960680199e-03,3.472165071012275634e-04,-9.785691408195958729e+00
-2.930184880645420476e-03,6.869630846167435433e-03,-9.796327533610242000e+00
-1.802213197737505832e-03,-4.605396228321250243e-03,-9.795565876533371963e+00
-2.700399376102935282e-03,-5.311165286675667216e-03,-9.782348388688454577e+00
5.547732961011070732e-03,-1.019339540360587881e-02,-9.787181731080963232e+00
6.774836468269248039e-04,8.483603554406624059e-03,-9.796604468816575206e+00
-7.521185681925451763e-04,-8.279136117688840751e-03,-9.802198168957524160e+00
8.990736032085038876e-04,-3.757507211621632752e-03,-9.793839305821901320e+00
1.448513842617960338e-04,-2.065474134394671042e-03,-9.781280762642907689e+00
1.020155097373729933e-02,-1.180579423416410791e-02,-9.798636641387441060e+00
-2.948537965663813550e-04,-5.260671258614287721e-03,-9.791295692385807214e+00
1.885663819833199905e-03,-3.192531194178699350e-04,-9.796137754438078105e+00
8.119954131870936453e-03,1.170642655196201670e-02,-9.787754226259655965e+00
3.901109230251633125e-03,-4.227490671193132737e-03,-9.790971117424582815e+00
-4.024669115906754822e-04,-7.749457212777130510e-03,-9.796490691248301630e+00
-5.570151880760746202e-03,-6.291262975984788369e-03,-9.793505293310563076e+00
-5.952466042772910871e-04,5.115068997116141349e-04,-9.796020513296463506e+00
4.888053245495489231e-03,2.208744740082048061e-03,-9.798865152428389180e+00
1.913899905218807620e-03,3.604456751293574901e-03,-9.792475270421428846e+00
-5.886094355247232374e-03,-1.282414609544512037e-03,-9.790177899750865720e+00
1.961299775080424003e-03,-2.452822685538450561e-04,-9.796304905236160820e+00
2.035977497586583061e-03,2.123915998360416564e-03,-9.788485935357737588e+00
6.569565500749472570e-03,-4.342005175952489034e-03,-9.787503311821570406e+00
-2.853848959838268303e-03,2.681945155569088243e-03,-9.794160605738793990e+00
6.373807681296836218e-03,2.429262043854811016e-03,-9.789991784808131925e+00
5.534399122634646104e-04,-1.304395953921613002e-03,-9.795184033669928070e+00
-8.125696594994385319e-04,3.367435024839633174e-03,-9.795738990068981522e+00
-4.553555962353907430e-03,3.524024765311898656e-03,-9.793538883083261481e+00
3.459327130048360423e-03,6.907231735141517760e-03,-9.786647991031156124e+00
1.441149961511815555e-03,-7.193097064201597890e-05,-9.797124581640010987e+00
-3.907182923946964440e-03,8.474789904056431646e-04,-9.802702102142760054e+00
-6.048234252470980309e-03,-2.495323055824655040e-03,-9.792422702351503361e+00
-3.546949779805187958e-04,4.642034595390766814e-03,-9.797784144918136207e+00
1.409130526139993527e-03,1.328741170759537623e-03,-9.789460706321165162e+00
3.543011519313478928e-03,-2.983529738014324955e-04,-9.797178524880225226e+00
-6.557166464084164016e-03,-1.273267880595357936e-03,-9.804719403709093228e+00
-3.250451818727680283e-04,-2.041888884949200674e-03,-9.786574015001589189e+00
4.926957223630710342e-03,1.047758002795442242e-03,-9.795734561312853472e+00
-3.259976342225320064e-03,-3.079026895129237124e-03,-9.790230726551653717e+00
1.740797690113219916e-03,-9.682958304632264916e-04,-9.794065231356311685e+00
-2.022728160633845747e-03,6.598042527817971764e-04,-9.793763809362021178e+00
2.702585289692921965e-03,-8.030205945373271315e-05,-9.792646020376592375e+00
-1.084180033223223691e-02,-2.123730504961302262e-03,-9.801977686174494053e+00
3.114399143731855311e-03,2.096111850920851036e-03,-9.793208919606406937e+00
9.513813059089958925e-04,1.703702424492898378e-03,-9.789931119537028437e+00
-2.518999582043023652e-03,-8.553824093884807717e-03,-9.785875127091106407e+00
2.574065059000744775e-03,4.813154138601233832e-03,-9.792623716105401499e+00
-1.526172255335340447e-03,5.780908371728864237e-03,-9.798508924227348871e+00
5.619613484440870964e-03,-1.352006932312314154e-03,-9.787097945376331154e+00
4.025308364704912115e-03,-5.715516989684025183e-03,-9.790040563563524145e+00
7.275043031691378172e-04,-1.071195557459750890e-02,-9.791879079883694104e+00
-8.061274382936243696e-03,-3.452082656540816051e-03,-9.784406314645545777e+00
2.479241706062251718e-03,-1.609966238197702449e-03,-9.801439139715977689e+00
-7.401939332909915521e-03,-1.287609553712486992e-03,-9.792951717448117321e+00
-2.874889057666145994e-03,-3.090417937429002296e-03,-9.790864733833554823e+00
2.073131835621514884e-03,2.626128902251838055e-03,-9.796872843018238797e+00
-6.485612407324719067e-03,3.736433429173298838e-03,-9.795291857955405135e+00
6.246321908272223916e-03,8.917786955015319893e-05,-9.793148808941424477e+00
-7.851314169957079522e-03,-7.018415545112056259e-03,-9.794398449705525422e+00
-2.261024594786369829e-03,8.011481326040304982e-03,-9.790977964328437366e+00
-1.531940573455499097e-03,-4.010305432379202353e-03,-9.788791424864072610e+00
