gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.044999993988300346e+01,1.144700000618466618e+02,-6.956505836858164343e-03,2.015007780222257949e+01,-5.404897862436343348e-02,-4.301959380139484812e-02
3.045001795461099903e+01,1.144700000199350285e+02,-1.408332080252259035e-03,2.002420478221879918e+01,-3.428537723318561548e-02,-2.035842640296333175e-02
3.045003607380322919e+01,1.144700000202104064e+02,-1.603621930771214612e-03,1.999758338666475410e+01,5.957679429221899442e-02,4.530028135581546517e-02
3.045005399150604930e+01,1.144699999224637423e+02,-4.558116384467303557e-03,2.003653970491152947e+01,-5.605479418279666476e-02,-8.715093657125701221e-02
3.045007230387853880e+01,1.144700000940170241e+02,8.857366397185671703e-03,1.996409764712835511e+01,-2.157063505328511710e-02,9.847919150055751969e-02
3.045009014091588995e+01,1.144700000938050550e+02,-1.412028682131922196e-03,2.000222161725132253e+01,-3.438916478608237265e-02,1.661825357582952245e-02
3.045010833839385356e+01,1.144699998504732434e+02,3.605862948953334618e-02,1.998673292268851753e+01,-1.266988819362212942e-02,4.874119774717086684e-02
3.045012624243077326e+01,1.144699999256013712e+02,4.507955497306054965e-02,2.002885194723085860e+01,7.304672934682693991e-03,7.466533437032842058e-02
3.045014438798647660e+01,1.144700000867542400e+02,-1.885096380526922119e-02,2.000914243511024182e+01,6.270411090947174138e-02,-1.026306289768297297e-02
3.045016235691437245e+01,1.144700000235654613e+02,1.607766290111315236e-02,2.002708319660973757e+01,2.798205547178002350e-02,2.532583444571718384e-02
3.045018034162233533e+01,1.144700000521785626e+02,-5.701189395595296708e-03,1.998912389315154670e+01,-7.301785041594428816e-02,-4.380629268831034290e-03
3.045019840547449874e+01,1.144699998830001277e+02,-2.156251092241675757e-02,2.009880290636288436e+01,4.173696355344543724e-02,-5.653280850175195632e-02
3.045021646155190709e+01,1.144700000202621624e+02,5.251328994689655888e-02,1.999351290070127618e+01,-4.974440583407580690e-02,-6.692101927312249510e-02
3.045023456784623761e+01,1.144699999962308112e+02,-7.432303113978695752e-03,1.994496465539520003e+01,-2.610141294241440438e-02,9.846948320960178039e-03
3.045025249548421087e+01,1.144700002199632536e+02,-2.420645660106847744e-02,1.998287245188642558e+01,-6.546769342622353605e-02,5.984200531818004848e-03
3.045027050523417245e+01,1.144699999300755735e+02,8.607201674161986740e-03,2.006652578625195815e+01,1.313992999686469480e-02,-6.384715277451429027e-02
3.045028880277540750e+01,1.144700000127953388e+02,1.689649764320803188e-02,2.001646660995291072e+01,-3.951493196449381434e-02,-9.091082421520785273e-02
3.045030662632122898e+01,1.144700000313120398e+02,1.556772198584695233e-02,2.003952003933928339e+01,-7.076875715539095689e-03,8.391808393255568987e-02
3.045032478707064882e+01,1.144700001490279107e+02,1.999817743736284452e-03,2.004299877232062954e+01,-1.985947663566157637e-02,-5.145897145491854646e-02
3.045034270635615670e+01,1.144700000372378241e+02,3.146801543099152221e-02,1.995153381133910742e+01,-4.427241461676120066e-02,-1.164934791844326328e-01
3.045036079646685678e+01,1.144699999945002560e+02,2.473027380443861001e-02,1.996915279759453554e+01,-4.588369967702714269e-02,3.751368802000057661e-03
3.045037885953988521e+01,1.144699998626005026e+02,6.806760734606071526e-03,2.005809017628803304e+01,-3.608494178415782433e-02,-2.722295843789154790e-02
3.045039690703233504e+01,1.144700001169829022e+02,-1.988005665004939984e-02,2.000187160049640056e+01,-5.457639683334069430e-02,-3.478437437687847966e-02
3.045041485960897631e+01,1.144699998931269107e+02,-7.950289229721251710e-03,1.995100837153402296e+01,1.772233677543804883e-02,-4.601177920177822525e-03
3.045043280966978827e+01,1.144699998313546985e+02,-1.879040445746970114e-02,2.008784344209233552e+01,-2.462514138987961440e-02,-2.682729741849874949e-02
3.045045094778118511e+01,1.144699998274717672e+02,1.461542611937335576e-03,2.002505338208590402e+01,4.026695796190027377e-02,-1.723307671214279260e-02
3.045046902549888657e+01,1.144699999140123907e+02,4.317490545217877356e-04,2.000586637202681928e+01,3.947608131818293280e-03,-2.938385511583185492e-02
3.045048710585156826e+01,1.144700000327973441e+02,-7.127049215637320384e-03,1.999442238833860586e+01,-4.281975374532828726e-02,7.104952527668247086e-02
3.045050500055829090e+01,1.144700000169559218e+02,-9.497451014718187243e-03,2.005089084836924229e+01,2.180773643327339750e-02,4.143259242556602412e-02
3.045052303235217295e+01,1.144700000625262959e+02,5.775499894424665319e-03,1.995153801782741354e+01,7.811308845550592184e-02,-5.535184416485805503e-02
3.045054127763990337e+01,1.144700000574999024e+02,9.671252421560806636e-04,1.999948540984581058e+01,4.858037703715635536e-02,2.518041346422698196e-02
3.045055938021905817e+01,1.144699998971599513e+02,1.885899442780687718e-02,2.000121762062739705e+01,-6.037568922027736207e-02,-5.234106558308999901e-02
3.045057733257016963e+01,1.144699999894378379e+02,2.533502341167659377e-02,1.998908153669750121e+01,1.720492178194250182e-02,3.766815015813110290e-02
3.045059527648881925e+01,1.144699999645222306e+02,-1.169289278754509324e-02,2.001956320147954926e+01,-2.990224055606688358e-02,-3.092179760173238701e-02
3.045061342809539084e+01,1.144699999672420461e+02,-1.778996501679789774e-02,1.996619268342880105e+01,4.542084366984383559e-02,-6.717403138853271505e-02
3.045063152375173132e+01,1.144699999874864744e+02,1.329271594475291488e-02,1.997359157753833969e+01,3.658291189355335898e-02,2.330458053106933269e-02
3.045064943564543114e+01,1.144700001297245677e+02,4.334101595821208963e-02,1.997970622702213106e+01,-3.391768467246703694e-02,2.576809077982789714e-02
3.045066747782276195e+01,1.144700000931995589e+02,-3.304810477811686523e-03,1.997412082972363834e+01,-1.070868215191688455e-01,-6.559685783559467132e-02
3.045068558807132320e+01,1.144700000662229940e+02,-2.870575639688310865e-02,1.997618956061473838e+01,3.110923553617465226e-02,5.498667354445716665e-02
3.045070363196310481e+01,1.144700000110904625e+02,-9.193300301314596273e-03,1.993616839634197291e+01,1.492142618548020216e-02,2.445604255536343308e-02
