gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
7.488127015357294580e-02,4.293578803725087156e-02,-1.129005044871895548e-02
-4.591089722102689036e-02,7.545226395085360624e-03,-1.361458998312347138e-02
-5.036354253841992396e-02,8.312468375494001804e-02,1.285924943052323133e-02
3.165391586286128711e-02,4.850298287057846353e-02,3.406875021788201979e-02
-4.521930368395877392e-02,2.140293867348736639e-02,-2.645406927207811718e-02
5.070714123672463020e-02,2.101700296912079741e-02,1.812534475390908950e-02
-6.105743025890661424e-02,-2.248737363870386904e-02,-5.550437239834240394e-02
-1.779798113872639587e-02,2.312751978880940584e-02,3.094760936042798352e-02
-4.703780044897274554e-02,-7.200849045735931153e-02,-2.637172763505981482e-02
-3.817419236986665382e-02,-1.182418001192540868e-02,-1.083751719354494013e-02
3.789735927559368528e-02,-4.241118094985951020e-02,1.549382088867074132e-02
1.496734671123328350e-02,-4.530325849241601671e-02,-3.356950338958094443e-02
-7.796964486924786060e-03,3.936447168071101343e-03,5.303205770644038586e-02
5.161814043101243393e-02,6.143018231310105708e-03,3.122184246666066983e-03
4.973607911999420456e-02,-6.677271562658361123e-03,1.631804095714898834e-03
-3.609981150656950410e-02,-1.298074505165120601e-02,-2.225194643258210370e-02
1.808267055641192209e-02,-6.295813130112956624e-02,-6.383987479477495897e-02
-4.223008559565590708e-02,-1.356302799984700908e-02,1.244356241187578004e-02
1.730235792762602545e-02,-6.957245347979054348e-03,8.275423894824406046e-03
2.201511260786653129e-02,-4.310945216362273985e-02,1.002599003234998058e-02
2.970469331493432244e-02,-3.074208282209863613e-02,-1.036567456369830685e-02
-2.958406454135570698e-02,-2.404387373916436546e-02,-4.034790688783009005e-02
5.033044570891661434e-02,1.274484732870114490e-01,4.266877827170117640e-03
-3.021254724602590036e-02,-5.137765561944604431e-03,-5.605119320284095152e-02
-7.688136740523192347e-02,1.011735203869823518e-02,-3.947811644924242164e-02
-2.028685483091010114e-02,7.873942394729394056e-02,3.153534908164939976e-02
-3.077422477787478128e-02,-5.365462470076701879e-02,-3.306370374912773885e-02
-2.693191194730651730e-02,2.137828659069459722e-02,3.699294442193703202e-03
2.267296674218451102e-02,5.696290536610792293e-02,-2.951371837711534371e-02
4.133390772551371641e-03,-7.185259165088554723e-02,-7.855095703131184659e-02
6.032911771283224964e-03,-2.512663096093853410e-02,4.699899272193370711e-03
2.181492998667832611e-02,-3.430286537633894794e-02,3.114658770732543769e-02
1.340775855286853967e-02,3.762709235356892501e-02,-5.778505400559755950e-02
-5.893146676119326993e-02,-4.267953714889176180e-03,-6.013969348400836044e-03
3.059232815744748757e-02,6.445009693955860985e-02,-4.139199218812411596e-02
1.728151098372165267e-02,-7.161663405773939506e-02,3.895762641597482617e-02
5.761310802085118504e-02,-4.960993148935163161e-02,4.434842681131799524e-02
-1.460449462592105022e-02,2.975975731587488307e-02,1.366910067537653248e-02
-8.192613226834175857e-04,-1.227791348478626289e-02,-1.000464955464133547e-03
2.051170409685997703e-02,9.197825891841491033e-03,-1.363302578491299051e-02
-2.467049573695408865e-02,2.569073663160249474e-02,2.848135260337531990e-02
-3.868839428020630355e-02,-2.524391369720577205e-02,4.157217826505338332e-02
2.896849393486944715e-02,5.035305855517764606e-02,4.014605613531249673e-02
3.322821138842841499e-02,-8.279032980061483415e-02,-6.442390258216802723e-02
-1.888357020358825272e-02,-4.729456581427119582e-02,5.879750647858078549e-02
1.000040503380886063e-02,-4.369629774405885125e-02,-1.651150979663475182e-02
-5.588635557631260048e-02,-1.482999396876303125e-03,2.124819925677791377e-02
-1.213698230419728470e-02,1.656975847507502486e-02,6.418045289735227824e-03
5.814363424145375416e-03,-3.192479944776521056e-02,4.361613378577362810e-02
3.176896327164283051e-02,-3.065581452193848547e-02,8.088667691999881781e-02
-3.244208500995378330e-02,5.238037072366633767e-02,-5.946514877070063071e-02
1.894214876455982063e-02,1.617440185216297704e-02,4.577761434219836112e-02
-4.881087334473439843e-02,4.198824412070243511e-02,-3.940199052361038207e-02
2.503919518697692373e-02,-6.141886678375560460e-02,-7.431033437910120575e-03
6.289669152902564730e-02,4.124224822884130226e-02,1.429047624792119907e-02
4.779391176690352475e-03,-3.167368983827014567e-02,3.286172448596905854e-02
3.534266120667879651e-02,2.683803177399583795e-02,1.900672178083787902e-03
-5.255504584424003367e-02,1.078015115368387809e-02,1.023480953818670242e-01
-1.556466547565878329e-03,-5.302138445840099551e-02,-1.093205273474531641e-01
-6.398251193000090153e-02,-1.084623953835164682e-02,8.586545341278980017e-03
6.048280081550624389e-03,-4.321736557406399837e-02,5.450906358932933182e-02
-1.879132228165406038e-02,4.846601880276630095e-03,4.157517724313441153e-03
3.280447995419322194e-02,-4.180671171651274137e-02,-6.604474383930898293e-03
-3.135935695246034466e-02,-1.526100663343932934e-02,1.876515516724274954e-02
7.570337555284842312e-03,-3.135497333271122095e-02,2.187233632555293534e-03
8.686015306450349527e-03,-1.715584151495268272e-02,1.206828312369529095e-02
-9.027294685857591150e-03,-2.457039897016971564e-02,-1.920697436235251424e-02
1.621103101283716610e-02,-8.476819958982455272e-02,-8.713823633164714116e-03
3.600866982088687246e-02,-6.037253309039512100e-02,7.148824225905417440e-02
-4.131850155853009597e-03,-4.165047396236428584e-02,-4.923582267985752992e-02
-6.063851005990989612e-02,3.985984243728269566e-02,1.848382930419400355e-02
2.347584973357592572e-02,2.833540590241084497e-02,7.305619000694948961e-02
4.324900915241313565e-02,3.652569609483870272e-02,5.084118550069863240e-02
-9.596254484822423769e-03,-7.939054682400843721e-02,2.594585441818149374e-02
-1.935994711254830332e-03,2.986705021346211866e-02,-3.797857597500833154e-02
-2.538482610152229674e-02,3.560905042977564189e-02,3.988264897858304070e-02
1.849837512369788967e-02,-1.619876454673028349e-02,2.913862824146081984e-02
1.373675887010621793e-02,-4.320757672385076853e-02,-2.518311604923792468e-02
1.120226004431200840e-03,2.324179942213036587e-02,2.774271216550965730e-02
-1.838207102495268558e-02,-1.444886583598000221e-02,5.205534592085523521e-02
-1.260069579765477239e-02,5.489402839512418086e-02,1.486137602226478803e-02
5.963279305778838597e-04,-4.266744665417278315e-02,4.757069462103338114e-02
2.556368640724532987e-02,-5.088359105741579319e-03,-7.734885066221724656e-03
6.323341417098082319e-03,3.036723002141454922e-02,-1.262621726998434252e-02
2.486624062350119985e-02,-1.028925446279662093e-01,5.322682780464016439e-02
9.244463182338055751e-03,-1.137617045031040150e-02,-2.146407105434748608e-02
-7.307065296033819594e-03,4.861672456721334405e-03,-3.490103982622606849e-02
-2.897817096361115716e-02,6.214395544760474566e-02,2.459002383521556589e-02
-1.538240289836828416e-02,-2.456403993907970568e-02,7.972477979617778598e-02
8.450643492298599846e-02,-5.772064139873171566e-03,-2.657034413494962707e-02
-2.177487553815105059e-02,-3.880831150249530043e-02,-1.707352995579574859e-02
1.803239831194019746e-02,-4.670269171319701984e-02,-1.578979747301257133e-02
-3.252596860249833133e-02,1.587043694224121336e-03,9.990874445596592893e-03
2.065527036408175074e-02,-1.602017228815348464e-03,5.823873060238451277e-02
7.227271183600800231e-02,-1.181519188670465681e-02,1.043576807476322144e-02
8.823202592929724891e-03,8.274755314014517471e-02,4.588534500494340779e-02
2.333793503019035084e-02,-4.926811229046012749e-03,1.691242325200212684e-02
2.309271048643482364e-03,1.349673699730250150e-02,-3.653420486548093760e-02
-2.207870055201483286e-02,-1.450598176757963292e-02,1.091346879104368103e-02
-4.258009529736513782e-02,3.058844965048022196e-02,9.572699497141172464e-02
-4.571218453669236709e-02,3.316592638628797912e-02,-4.891739169694504785e-02
7.124121605046784822e-02,1.222147046971209378e-02,-5.420956157313780444e-02
-7.221103271496714579e-05,4.055639344909247462e-02,2.117020505234692637e-02
5.805398195321085503e-02,-8.914228760007672633e-04,-6.899544588950245853e-03
1.853532189035119598e-02,2.116657388341361412e-02,1.515786886216489299e-02
1.909869605954082200e-02,-1.875607070540292326e-02,1.632753032900633242e-02
1.453950307377669358e-02,2.305156959378144247e-03,2.653352425932837058e-02
3.392136215413073946e-02,7.607420018922478322e-02,7.832248817342284120e-03
-4.274899108484905147e-02,4.983208736103833525e-02,-1.479619280614894415e-02
-4.724749521406540476e-02,4.550744135252136197e-02,7.733191076964143762e-02
3.219109736589537835e-02,1.672604655834888585e-02,2.173923951751107267e-02
-9.028545912155804681e-03,5.643932591834025653e-02,-3.972360118806678338e-03
-6.196896466841993190e-02,-2.343035866634145953e-02,6.605776110166100556e-02
1.278948182778805176e-02,-5.852237951571689911e-02,-4.225916639715102639e-03
1.022309132115909423e-02,1.079022058418452855e-02,-1.455157373629391640e-02
3.198756480949705577e-02,-2.802520210574346166e-02,-3.320707444461399455e-02
-4.701208872474314099e-02,5.072615251896653993e-02,-5.662983290109357970e-02
-5.571908230423258147e-03,8.357433824006604839e-02,1.390488341640584193e-02
-2.858860688249259194e-02,-3.388707404321317923e-02,-1.673985934171135295e-02
-5.576282658211272059e-02,-9.691470219209154940e-03,-3.336798011536455579e-03
1.215371924102095352e-02,3.404758313802582793e-03,4.601857432673164827e-02
-1.437954315016228349e-02,-4.586725654466475288e-02,-4.448838192954313042e-02
1.384147599397508909e-03,-5.322329061845482850e-02,-1.122519395274443679e-02
1.629878745526866859e-02,-1.761952921345133483e-02,-4.322550318835045174e-02
-3.368737651475144090e-02,-2.955477781003411006e-02,1.393720639041713498e-02
-4.858518844034832862e-02,-1.360281638275802514e-02,2.715944015233500916e-02
-3.479888722100198117e-02,-2.436033462049284025e-03,-3.400992013389999430e-02
4.946742969593878603e-02,-4.604602213534788116e-03,6.976340087853205585e-02
-3.775659275086973299e-02,3.073122243442512683e-02,1.726345634916521751e-02
-9.188646202218751780e-02,-6.771445520365536970e-04,4.690593230340367459e-02
1.843756732400661166e-02,-9.243947379430018929e-02,-2.405750344450676564e-02
6.602517880127946326e-02,-5.324553919297581733e-03,-3.734767861358094521e-02
-2.776340860717632641e-02,-4.016220615424155246e-03,-1.497240847097387056e-02
3.728226249580712803e-02,-7.696888449375192259e-03,1.810834542245470108e-02
1.067805839360112460e-02,9.440208111375922306e-02,-4.217906348022131685e-02
-4.161157451420733656e-03,1.284053584066101100e-04,5.541108532327501668e-02
4.730972279109095513e-02,-4.221637137781219899e-03,-4.323972954326207874e-02
-1.084171912419719212e-02,5.171329553700247661e-02,4.161483437394644658e-02
-5.047605369834851086e-02,-3.091695283394699928e-02,-7.699756597857025479e-03
-1.381041680590616542e-02,5.100170117013053811e-02,3.138478522449936192e-02
-2.923794419448653634e-02,6.204074368118343841e-02,8.528949094427994149e-02
1.328833607203576015e-03,-4.351070884016304020e-03,-3.036205478190408323e-04
-1.384405655789721799e-03,-1.496895972691232417e-02,4.129335048525620971e-02
3.148689009807861816e-02,5.902295685949680154e-02,-5.687547945588526666e-02
-3.827396882305755116e-02,5.015521855767516440e-02,-3.357807686438504802e-02
-3.605275015916288572e-02,7.148176035038789587e-03,2.364404981483577556e-02
-3.111491722191303804e-03,-5.458647786242584732e-02,-4.669149216405202307e-02
2.404483667142896797e-02,-9.442545338269990249e-03,4.582893107004199114e-03
6.873746038871943187e-02,-1.980844880046784412e-02,-2.592011174169421561e-02
-5.264193757437243132e-02,-3.911454645588722211e-03,-4.833094065111903301e-03
1.512045192212697030e-02,8.653945977793829972e-03,-8.316824687425524928e-03
-5.861013176410612840e-02,6.276726253168155023e-02,-4.098643112556272367e-02
2.155493669952276297e-04,-5.075163731624503932e-02,-4.121584240110496428e-02
4.118205129403632037e-02,9.521338846737822936e-03,3.132969233569268819e-02
-2.421195057242674087e-02,2.601184810941983491e-02,-4.927187759344327234e-02
-2.173850171022043490e-02,-6.396170181383029757e-03,-5.691840156948490409e-02
5.940928922458011546e-02,-3.390084305288069977e-02,-4.585862977287134823e-02
2.047732092430934459e-02,-3.079732003773799805e-03,-1.437668350320232651e-02
-1.049737347507379709e-01,1.389612697730697143e-02,2.513538169812859491e-02
5.183307226348893293e-02,-4.382429355780731450e-02,-1.572028464900862219e-02
5.154698939552618264e-02,-2.410071019797082464e-02,-4.924205946105666282e-02
