ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.601799649885233882e-03,-1.804076222671866132e-04,-2.117390548902823612e-03
3.601799583214807757e-03,-1.804076222172597537e-04,-2.117390662312939979e-03
3.601799516544377730e-03,-1.804076221673328671e-04,-2.117390775723055046e-03
3.601799449873944667e-03,-1.804076221174059805e-04,-2.117390889133167510e-03
3.601799383203507701e-03,-1.804076220674791209e-04,-2.117391002543278240e-03
3.601799316533067265e-03,-1.804076220175522614e-04,-2.117391115953386367e-03
3.601799249862622492e-03,-1.804076219676253477e-04,-2.117391229363492760e-03
3.601799183192175551e-03,-1.804076219176985153e-04,-2.117391342773596117e-03
3.601799116521724707e-03,-1.804076218677716286e-04,-2.117391456183697739e-03
3.601799049851269526e-03,-1.804076218178447420e-04,-2.117391569593798494e-03
3.601798983180810876e-03,-1.804076217679178283e-04,-2.117391683003895346e-03
3.601798916510349623e-03,-1.804076217179909688e-04,-2.117391796413991330e-03
3.601798849839884034e-03,-1.804076216680640550e-04,-2.117391909824084713e-03
3.601798783169414975e-03,-1.804076216181371684e-04,-2.117392023234175927e-03
3.601798716498943315e-03,-1.804076215682102547e-04,-2.117392136644264539e-03
3.601798649828466450e-03,-1.804076215182833680e-04,-2.117392250054351849e-03
3.601798583157986983e-03,-1.804076214683565085e-04,-2.117392363464436992e-03
3.601798516487504046e-03,-1.804076214184295677e-04,-2.117392476874519099e-03
3.601798449817017207e-03,-1.804076213685027082e-04,-2.117392590284599904e-03
3.601798383146527331e-03,-1.804076213185757944e-04,-2.117392703694678541e-03
3.601798316476033119e-03,-1.804076212686489078e-04,-2.117392817104755010e-03
3.601798249805535871e-03,-1.804076212187219941e-04,-2.117392930514828877e-03
3.601798183135035587e-03,-1.804076211687950803e-04,-2.117393043924901009e-03
3.601798116464530967e-03,-1.804076211188681937e-04,-2.117393157334970973e-03
3.601798049794022443e-03,-1.804076210689412800e-04,-2.117393270745038768e-03
3.601797983123510884e-03,-1.804076210190143663e-04,-2.117393384155104395e-03
3.601797916452995421e-03,-1.804076209690874525e-04,-2.117393497565167853e-03
3.601797849782476923e-03,-1.804076209191605659e-04,-2.117393610975230010e-03
3.601797783111954955e-03,-1.804076208692336251e-04,-2.117393724385288264e-03
3.601797716441429518e-03,-1.804076208193066842e-04,-2.117393837795345651e-03
3.601797649770900177e-03,-1.804076207693797705e-04,-2.117393951205400436e-03
3.601797583100366934e-03,-1.804076207194528568e-04,-2.117394064615453920e-03
3.601797516429830221e-03,-1.804076206695259430e-04,-2.117394178025504801e-03
3.601797449759290906e-03,-1.804076206195990022e-04,-2.117394291435553081e-03
3.601797383088746821e-03,-1.804076205696720885e-04,-2.117394404845599626e-03
3.601797316418200133e-03,-1.804076205197451747e-04,-2.117394518255644002e-03
3.601797249747649542e-03,-1.804076204698182339e-04,-2.117394631665686210e-03
3.601797183077095482e-03,-1.804076204198912931e-04,-2.117394745075726250e-03
3.601797116406537085e-03,-1.804076203699643522e-04,-2.117394858485764121e-03
3.601797049735976086e-03,-1.804076203200374114e-04,-2.117394971895800258e-03
3.601796983065410750e-03,-1.804076202701104976e-04,-2.117395085305833792e-03
3.601796916394842379e-03,-1.804076202201835839e-04,-2.117395198715865158e-03
3.601796849724270538e-03,-1.804076201702566160e-04,-2.117395312125894789e-03
3.601796783053695227e-03,-1.804076201203296751e-04,-2.117395425535922252e-03
3.601796716383116014e-03,-1.804076200704027614e-04,-2.117395538945947113e-03
3.601796649712533764e-03,-1.804076200204757393e-04,-2.117395652355970673e-03
3.601796583041946744e-03,-1.804076199705488255e-04,-2.117395765765991630e-03
3.601796516371357556e-03,-1.804076199206218576e-04,-2.117395879176009986e-03
3.601796449700764031e-03,-1.804076198706949438e-04,-2.117395992586026607e-03
