gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.045002803707342665e+01,1.144700435931600424e+02,9.254216716693907330e+00,1.506740204935516303e+01,-8.359761201254299959e-03,-6.008187955648252448e-02
3.045002452753064759e+01,1.144699554376285846e+02,1.287104652417910611e+00,1.495076890410670067e+01,5.644576432317112424e-02,-4.267638368174395407e-04
3.045007732557991176e+01,1.144699819805188525e+02,-5.087704562491550675e+00,1.493970878581127337e+01,3.351435399533002069e-01,4.528081332309953633e-02
3.045008259302825238e+01,1.144699063876847305e+02,-1.668184793760345741e+01,1.499294534954532487e+01,5.175898441489165114e-01,3.043645252718524957e-02
3.045011978300525612e+01,1.144700049029199533e+02,5.381140622863137324e+00,1.494142376502371405e+01,6.606040208960184401e-01,5.150278365028794492e-02
3.044998773661137648e+01,1.144700180885452738e+02,-1.299766693883481317e+00,1.497084676942033532e+01,1.001964888321506653e+00,-1.227364600561177584e-02
3.045003192734102271e+01,1.144699866446236456e+02,1.466954212858730067e+00,1.496832094279873715e+01,1.148368630915839628e+00,-2.047021617537065144e-02
3.045009406606685332e+01,1.144700455504472956e+02,1.704415174371621333e+01,1.486196320896493894e+01,1.453904821452032037e+00,4.339443725706192308e-03
3.045011540721565169e+01,1.144700611599723601e+02,-1.781401689450300488e-02,1.489401112197928256e+01,1.590394388430611095e+00,5.566931457993817833e-02
3.045013439846704273e+01,1.144700523476535921e+02,-6.629449941164738291e+00,1.493190884604315904e+01,1.920078732927331888e+00,-2.899783524439777591e-02
3.045009912217247106e+01,1.144700618402098655e+02,-9.190974322687438303e+00,1.488299850259380896e+01,2.213240588140455767e+00,2.723882728701691736e-02
3.045018374590084775e+01,1.144699834346404970e+02,6.055052089974886975e+00,1.487798269687225883e+01,2.374297177675957382e+00,-6.015956819778150999e-02
3.045012375287042161e+01,1.144700355185900094e+02,7.498882830050311199e+00,1.481798959515482927e+01,2.585890850788225670e+00,5.866735534036487260e-02
3.045026007954113467e+01,1.144701096984242952e+02,9.319186103397871790e+00,1.470840013705612925e+01,2.786337573162141812e+00,-4.420066845322667692e-02
3.045017647359998847e+01,1.144700576926880160e+02,6.765564221317344362e+00,1.477770041571175064e+01,2.983675820875780982e+00,-5.167871608378975939e-02
3.045017067992968052e+01,1.144700634353811921e+02,-1.261341480362145440e+00,1.457097786331535971e+01,3.316762339956677241e+00,1.820155222427904257e-02
3.045025861068607043e+01,1.144700381013263097e+02,7.056824362912036408e-01,1.457486801348080263e+01,3.559475615196864506e+00,5.777104462363517184e-02
3.045019001437485073e+01,1.144700776576063674e+02,1.557622630161445088e+00,1.451816349913780790e+01,3.690228131260446354e+00,-7.422203687297761199e-02
3.045024258050115407e+01,1.144700326540395281e+02,6.974178264599947497e+00,1.442856996243667211e+01,4.019834597485551164e+00,-4.246049261982557527e-02
3.045018428031169577e+01,1.144700785885388967e+02,1.089429675703510458e+00,1.436095898486474276e+01,4.165581684154527231e+00,-3.865623181509275641e-02
3.045024031343939086e+01,1.144699506283778589e+02,-1.642978753074414655e+00,1.434808306242311282e+01,4.458020362561545546e+00,5.671347271979287896e-02
3.045029950343133152e+01,1.144701290570800296e+02,3.708560298658925003e+00,1.424564858433283732e+01,4.654629888799871829e+00,-6.001232056836400958e-02
3.045024323039337233e+01,1.144700326674179820e+02,-2.546732184446558023e+00,1.413436489593397205e+01,4.859100673070606113e+00,-1.398852446101475633e-01
3.045027396841840428e+01,1.144701566672226392e+02,-7.007085631235666412e+00,1.412739258534283060e+01,5.134575065677452699e+00,8.194391100608882858e-03
3.045034428633204371e+01,1.144700613931868816e+02,2.194141414344963348e+00,1.398993526305883250e+01,5.333049725251974849e+00,-1.113718499423946295e-01
3.045029023831892090e+01,1.144700608413401852e+02,-3.714923408954150741e+00,1.394199662015568464e+01,5.637598569188916109e+00,-1.221363952330051794e-01
3.045039126395782958e+01,1.144700865952980280e+02,1.148784867990986502e-01,1.392127595511669469e+01,5.755186129567363196e+00,-3.266055453169838113e-02
3.045036036604155427e+01,1.144702005726383760e+02,-8.025092332234523340e+00,1.371593211042314486e+01,5.966733881747342316e+00,-2.074542059182268167e-02
3.045029666912597222e+01,1.144701149567873557e+02,-2.191372819620972245e-01,1.366173900575499722e+01,6.039372656763831948e+00,6.349982391133102144e-02
3.045044155285203047e+01,1.144700851480050972e+02,-1.100817172162173119e+00,1.361425796065081428e+01,6.456637001253771935e+00,-1.478041315308260004e-03
3.045044951429461833e+01,1.144701284054175545e+02,-1.693981112184356430e+00,1.346764509550089528e+01,6.550551449030280082e+00,-3.336286499271193251e-02
3.045032167660973954e+01,1.144700521977808876e+02,-2.375747909915379985e+00,1.339029384191512762e+01,6.790083858151043650e+00,-3.214675398542813506e-02
3.045043162732142861e+01,1.144700910947946682e+02,-5.585063098759033728e+00,1.317804069299638492e+01,7.034038402194385142e+00,-1.390102210852192091e-03
3.045043590910737663e+01,1.144701561031928492e+02,2.929957422561336733e-01,1.313295381284275543e+01,7.254883313656597998e+00,-5.373588939828954913e-02
