gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-3.732025459534041995e-02,-1.432540759309173031e-02,9.745339261877647985e-01
-2.762593173221917359e-02,8.101122874080017230e-03,1.730834476631947449e+00
-2.729771921722003170e-02,8.581772524573204330e-02,2.490829147840832203e+00
1.737728033298021821e-02,-3.232607605115879468e-02,2.999498937423802136e+00
-4.208752578521860604e-02,-1.861292881810413732e-02,3.671773125807276550e+00
-1.285263726909349584e-02,7.656087710865093487e-02,4.286463924933287650e+00
-9.984959757018732271e-03,4.463837685147113016e-02,4.650994496066803485e+00
1.708769572408363330e-02,5.248708835975136877e-02,5.147940017638786614e+00
-4.157148471092048797e-02,-2.150293184062581492e-02,5.495563393894773441e+00
1.929874637980559873e-02,2.616280869168642782e-03,5.791023088281412434e+00
1.005945367851038552e-01,-2.160077968566410586e-02,6.178072916757968436e+00
4.635228702183556010e-02,1.065970451475617940e-02,6.452625748369735348e+00
3.463100418980943895e-02,-4.573842278633779082e-03,6.757913985555691561e+00
-3.136685274548092761e-02,-1.060580099858169645e-01,6.881908896783122564e+00
-6.630581396433352093e-02,-3.145815272841247148e-03,7.153969603685460754e+00
-2.175198974822418335e-02,-3.567282887383981665e-02,7.305617885487039942e+00
-3.791457548599359156e-02,-8.414192610734042010e-02,7.433705328581440064e+00
3.621897931856389585e-02,3.307448734573857629e-02,7.690034589715189384e+00
-1.204927219549560558e-02,-1.814069567800305829e-02,7.670041225364407467e+00
3.750643814886302219e-02,-1.775083522264928396e-02,7.917074878557252227e+00
-4.084454489861675044e-03,1.410068470050799931e-02,8.088547316103181117e+00
6.538056188242039046e-02,7.559747542925032704e-02,8.079125819601888026e+00
1.749930106471140820e-02,2.786537252934838393e-02,8.152650558652567270e+00
-1.045471573552917560e-01,-3.237148117470294798e-03,8.287781297883471510e+00
-1.881106823179459287e-03,5.937134192573583630e-02,8.384486343365491479e+00
-4.194506427354994377e-02,-3.917476544376129709e-03,8.489798361588706044e+00
1.085690693259664568e-03,-2.520160687336070460e-02,8.512588269642696659e+00
