ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,2.345107859203655332e-01,-9.793565393360722737e+00
0.000000000000000000e+00,4.465682867384003218e-01,-9.793565098192379637e+00
0.000000000000000000e+00,6.374200342154375809e-01,-9.793564536411574650e+00
0.000000000000000000e+00,8.091866036855781541e-01,-9.793563734679741728e+00
0.000000000000000000e+00,9.637765129495154959e-01,-9.793562716992413542e+00
0.000000000000000000e+00,1.102907428027876779e+00,-9.793561504945939689e+00
0.000000000000000000e+00,1.228125248339232645e+00,-9.793560117977543555e+00
0.000000000000000000e+00,1.340821283360303262e+00,-9.793558573581329085e+00
0.000000000000000000e+00,1.442247711620145534e+00,-9.793556887502701258e+00
0.000000000000000000e+00,1.533531493794916711e+00,-9.793555073913299935e+00
0.000000000000000000e+00,1.615686894493169712e+00,-9.793553145568441920e+00
0.000000000000000000e+00,1.689626751862610687e+00,-9.793551113948774756e+00
0.000000000000000000e+00,1.756172620236185589e+00,-9.793548989387801385e+00
0.000000000000000000e+00,1.816063898513555763e+00,-9.793546781186574179e+00
0.000000000000000000e+00,1.869966045704426705e+00,-9.793544497716972330e+00
0.000000000000000000e+00,1.918477974917542683e+00,-9.793542146514614188e+00
0.000000000000000000e+00,1.962138707950786154e+00,-9.793539734362459726e+00
0.000000000000000000e+00,2.001433364422257277e+00,-9.793537267366096088e+00
0.000000000000000000e+00,2.036798551988257877e+00,-9.793534751021436335e+00
0.000000000000000000e+00,2.068627217539472873e+00,-9.793532190275698213e+00
0.000000000000000000e+00,2.097273013277522136e+00,-9.793529589582233186e+00
0.000000000000000000e+00,2.123054226183877624e+00,-9.793526952949926923e+00
0.000000000000000000e+00,2.146257314541870631e+00,-9.793524283987615320e+00
0.000000000000000000e+00,2.167140090806509711e+00,-9.793521585944075625e+00
0.000000000000000000e+00,2.185934586187312956e+00,-9.793518861744031412e+00
0.000000000000000000e+00,2.202849628772852064e+00,-9.793516114020532015e+00
0.000000000000000000e+00,2.218073163842853468e+00,-9.793513345144129190e+00
0.000000000000000000e+00,2.231774342149078549e+00,-9.793510557249101467e+00
0.000000000000000000e+00,2.244105399368120590e+00,-9.793507752257065491e+00
0.000000000000000000e+00,2.255203347608921938e+00,-9.793504931898262100e+00
0.000000000000000000e+00,2.265191497769539541e+00,-9.793502097730662825e+00
0.000000000000000000e+00,2.274180829658233538e+00,-9.793499251157200547e+00
0.000000000000000000e+00,2.282271225102446621e+00,-9.793496393441271763e+00
0.000000000000000000e+00,2.289552577746883699e+00,-9.793493525720668558e+00
0.000000000000000000e+00,2.296105791871787538e+00,-9.793490649020158756e+00
0.000000000000000000e+00,2.302003681329387597e+00,-9.793487764262767570e+00
0.000000000000000000e+00,2.307311778586694562e+00,-9.793484872279956122e+00
0.000000000000000000e+00,2.312089062864028932e+00,-9.793481973820776787e+00
0.000000000000000000e+00,2.316388615459687106e+00,-9.793479069560097727e+00
0.000000000000000000e+00,2.320258209542141792e+00,-9.793476160106045825e+00
0.000000000000000000e+00,2.323740840963028020e+00,-9.793473246006659139e+00
0.000000000000000000e+00,2.326875205988825801e+00,-9.793470327755890992e+00
0.000000000000000000e+00,2.329696131259373360e+00,-9.793467405799038517e+00
0.000000000000000000e+00,2.332234960750534825e+00,-9.793464480537588557e+00
0.000000000000000000e+00,2.334519904040595950e+00,-9.793461552333605269e+00
0.000000000000000000e+00,2.336576349750019599e+00,-9.793458621513673634e+00
0.000000000000000000e+00,2.338427147637233361e+00,-9.793455688372443291e+00
0.000000000000000000e+00,2.340092862484827840e+00,-9.793452753175820646e+00
0.000000000000000000e+00,2.341592002597142841e+00,-9.793449816163848354e+00
0.000000000000000000e+00,2.342941225448093689e+00,-9.793446877553295238e+00
0.000000000000000000e+00,2.344155522764210797e+00,-9.793443937539956679e+00
0.000000000000000000e+00,2.345248387099379439e+00,-9.793440996300798673e+00
0.000000000000000000e+00,2.346231961752105022e+00,-9.793438053995794590e+00
0.000000000000000000e+00,2.347117175691049162e+00,-9.793435110769650009e+00
0.000000000000000000e+00,2.347913864988017352e+00,-9.793432166753328616e+00
0.000000000000000000e+00,2.348630882107640261e+00,-9.793429222065418216e+00
0.000000000000000000e+00,2.349276194268094642e+00,-9.793426276813367082e+00
0.000000000000000000e+00,2.349856971965748276e+00,-9.793423331094613715e+00
0.000000000000000000e+00,2.350379668647338605e+00,-9.793420384997562067e+00
0.000000000000000000e+00,2.350850092414939141e+00,-9.793417438602517677e+00
0.000000000000000000e+00,2.351273470560420797e+00,-9.793414491982462167e+00
0.000000000000000000e+00,2.351654507646478098e+00,-9.793411545203815294e+00
0.000000000000000000e+00,2.351997437779544065e+00,-9.793408598327070891e+00
0.000000000000000000e+00,2.352306071655414943e+00,-9.793405651407409707e+00
0.000000000000000000e+00,2.352583838900316859e+00,-9.793402704495209221e+00
0.000000000000000000e+00,2.352833826177859855e+00,-9.793399757636533920e+00
0.000000000000000000e+00,2.353058811485301938e+00,-9.793396810873572278e+00
0.000000000000000000e+00,2.353261295020184107e+00,-9.793393864245013347e+00
0.000000000000000000e+00,2.353443526960297572e+00,-9.793390917786403804e+00
0.000000000000000000e+00,2.353607532465666452e+00,-9.793387971530460590e+00
0.000000000000000000e+00,2.353755134180319786e+00,-9.793385025507355124e+00
0.000000000000000000e+00,2.353887972483889257e+00,-9.793382079744963775e+00
0.000000000000000000e+00,2.354007523718053996e+00,-9.793379134269102337e+00
0.000000000000000000e+00,2.354115116590330459e+00,-9.793376189103724982e+00
0.000000000000000000e+00,2.354211946937496691e+00,-9.793373244271123212e+00
0.000000000000000000e+00,2.354299091012653555e+00,-9.793370299792075073e+00
0.000000000000000000e+00,2.354377517443604795e+00,-9.793367355686013909e+00
0.000000000000000000e+00,2.354448097995380795e+00,-9.793364411971149153e+00
0.000000000000000000e+00,2.354511617256517475e+00,-9.793361468664592451e+00
0.000000000000000000e+00,2.354568781356702889e+00,-9.793358525782476676e+00
0.000000000000000000e+00,2.354620225812666057e+00,-9.793355583340028758e+00
0.000000000000000000e+00,2.354666522589471178e+00,-9.793352641351701138e+00
0.000000000000000000e+00,2.354708186455682029e+00,-9.793349699831203736e+00
0.000000000000000000e+00,2.354745680703018262e+00,-9.793346758791614093e+00
0.000000000000000000e+00,2.354779422294030145e+00,-9.793343818245416443e+00
0.000000000000000000e+00,2.354809786495024149e+00,-9.793340878204574551e+00
0.000000000000000000e+00,2.354837111045683162e+00,-9.793337938680581445e+00
0.000000000000000000e+00,2.354861699911730444e+00,-9.793334999684502051e+00
0.000000000000000000e+00,2.354883826662324431e+00,-9.793332061227015828e+00
0.000000000000000000e+00,2.354903737509715711e+00,-9.793329123318461171e+00
0.000000000000000000e+00,2.354921654044936474e+00,-9.793326185968867392e+00
0.000000000000000000e+00,2.354937775699926572e+00,-9.793323249187983137e+00
0.000000000000000000e+00,2.354952281963436533e+00,-9.793320312985297704e+00
0.000000000000000000e+00,2.354965334375353159e+00,-9.793317377370083676e+00
0.000000000000000000e+00,2.354977078321579764e+00,-9.793314442351407578e+00
0.000000000000000000e+00,2.354987644649438217e+00,-9.793311507938147642e+00
0.000000000000000000e+00,2.354997151121526411e+00,-9.793308574139020450e+00
0.000000000000000000e+00,2.355005703724190269e+00,-9.793305640962591596e+00
0.000000000000000000e+00,2.355013397845149292e+00,-9.793302708417295221e+00
0.000000000000000000e+00,2.355020319333358092e+00,-9.793299776511435795e+00
0.000000000000000000e+00,2.355026545452885145e+00,-9.793296845253218308e+00
0.000000000000000000e+00,2.355032145741398075e+00,-9.793293914650744725e+00
