ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.045000000000000284e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045001353051846849e+01,1.144700000334091214e+02,0.000000000000000000e+00,1.499968311425541501e+01,9.750113804945083340e-02,0.000000000000000000e+00
3.045002706005438142e+01,1.144700002184666943e+02,0.000000000000000000e+00,1.499729329127920430e+01,2.849454954052177968e-01,0.000000000000000000e+00
3.045004058612040510e+01,1.144700006161403110e+02,0.000000000000000000e+00,1.499154064284462784e+01,5.036954972378518969e-01,0.000000000000000000e+00
3.045005410549587310e+01,1.144700012476096305e+02,0.000000000000000000e+00,1.498206682506232390e+01,7.332623332525093351e-01,0.000000000000000000e+00
3.045006761479812241e+01,1.144700021201380906e+02,0.000000000000000000e+00,1.496883261475414528e+01,9.664627005076862343e-01,0.000000000000000000e+00
3.045008111064397127e+01,1.144700032360968578e+02,0.000000000000000000e+00,1.495186240951334433e+01,1.200754132610746261e+00,0.000000000000000000e+00
3.045009458967402338e+01,1.144700045961120338e+02,0.000000000000000000e+00,1.493118095909175835e+01,1.435212585945266905e+00,0.000000000000000000e+00
3.045010804854799602e+01,1.144700062001622030e+02,0.000000000000000000e+00,1.490680522905315541e+01,1.669478320635961355e+00,0.000000000000000000e+00
3.045012148393855256e+01,1.144700080479610733e+02,0.000000000000000000e+00,1.487874701679396061e+01,1.903388349823752934e+00,0.000000000000000000e+00
3.045013489252792738e+01,1.144700101390908600e+02,0.000000000000000000e+00,1.484701583677113490e+01,2.136848319995392043e+00,0.000000000000000000e+00
3.045014827100656873e+01,1.144700124730489676e+02,0.000000000000000000e+00,1.481162062225014431e+01,2.369787868678172593e+00,0.000000000000000000e+00
3.045016161607308902e+01,1.144700150492642052e+02,0.000000000000000000e+00,1.477257056126054557e+01,2.602145079079621226e+00,0.000000000000000000e+00
3.045017492443460227e+01,1.144700178671025981e+02,0.000000000000000000e+00,1.472987547170553846e+01,2.833861074232035815e+00,0.000000000000000000e+00
3.045018819280738853e+01,1.144700209258695196e+02,0.000000000000000000e+00,1.468354596018842528e+01,3.064878143586495796e+00,0.000000000000000000e+00
3.045020141791766477e+01,1.144700242248105013e+02,0.000000000000000000e+00,1.463359348595146692e+01,3.295139099934746518e+00,0.000000000000000000e+00
3.045021459650230611e+01,1.144700277631117444e+02,0.000000000000000000e+00,1.458003038485211000e+01,3.524587064719672203e+00,0.000000000000000000e+00
3.045022772530970911e+01,1.144700315399002761e+02,0.000000000000000000e+00,1.452286987691704567e+01,3.753165402448376486e+00,0.000000000000000000e+00
3.045024080110051301e+01,1.144700355542443333e+02,0.000000000000000000e+00,1.446212606721119798e+01,3.980817706965539493e+00,0.000000000000000000e+00
3.045025382064848429e+01,1.144700398051534478e+02,0.000000000000000000e+00,1.439781394394937131e+01,4.207487805735990349e+00,0.000000000000000000e+00
3.045026678074122373e+01,1.144700442915789012e+02,0.000000000000000000e+00,1.432994937540587621e+01,4.433119770354142730e+00,0.000000000000000000e+00
3.045027967818104031e+01,1.144700490124137531e+02,0.000000000000000000e+00,1.425854910622950200e+01,4.657657929178771639e+00,0.000000000000000000e+00
3.045029250978566893e+01,1.144700539664932819e+02,0.000000000000000000e+00,1.418363075339867407e+01,4.881046880664371201e+00,0.000000000000000000e+00
3.045030527238911944e+01,1.144700591525951836e+02,0.000000000000000000e+00,1.410521280190714677e+01,5.103231506889994940e+00,0.000000000000000000e+00
3.045031796284240144e+01,1.144700645694399412e+02,0.000000000000000000e+00,1.402331460021519227e+01,5.324156987109927464e+00,0.000000000000000000e+00
3.045033057801432719e+01,1.144700702156910666e+02,0.000000000000000000e+00,1.393795635548011802e+01,5.543768811262908436e+00,0.000000000000000000e+00
3.045034311479231448e+01,1.144700760899554979e+02,0.000000000000000000e+00,1.384915912857213272e+01,5.762012793415785872e+00,0.000000000000000000e+00
3.045035557008308658e+01,1.144700821907838844e+02,0.000000000000000000e+00,1.375694482887847059e+01,5.978835085131042781e+00,0.000000000000000000e+00
3.045036794081348575e+01,1.144700885166710265e+02,0.000000000000000000e+00,1.366133620889782385e+01,6.194182188752378693e+00,0.000000000000000000e+00
3.045038022393122290e+01,1.144700950660561318e+02,0.000000000000000000e+00,1.356235685862658080e+01,6.408000970604215141e+00,0.000000000000000000e+00
3.045039241640562366e+01,1.144701018373232984e+02,0.000000000000000000e+00,1.346003119973836526e+01,6.620238674101543985e+00,0.000000000000000000e+00
