ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.499999981494491763e+01,2.356194480502882965e-03,0.000000000000000000e+00
1.499999844368678303e+01,6.832963785241526374e-03,0.000000000000000000e+00
1.499999417592831463e+01,1.321824937922252280e-02,0.000000000000000000e+00
1.499998484687796818e+01,2.132119676213214965e-02,0.000000000000000000e+00
1.499996802853240574e+01,3.097003399501981058e-02,0.000000000000000000e+00
1.499994117142642303e+01,4.201016241979736721e-02,0.000000000000000000e+00
1.499990170785065580e+01,5.430243842570291884e-02,0.000000000000000000e+00
1.499984712526133812e+01,6.772162718905752610e-02,0.000000000000000000e+00
1.499977501678393921e+01,8.215501119436975641e-02,0.000000000000000000e+00
1.499968311425541501e+01,9.750113804945083340e-02,0.000000000000000000e+00
1.499956930808628996e+01,1.136686936484918725e-01,0.000000000000000000e+00
1.499943165729621697e+01,1.305754881287018720e-01,0.000000000000000000e+00
1.499926839233860321e+01,1.481475433212952608e-01,0.000000000000000000e+00
1.499907791274369195e+01,1.663182715288218372e-01,0.000000000000000000e+00
1.499885878114509019e+01,1.850277364796905910e-01,0.000000000000000000e+00
1.499860971488771710e+01,2.042219882280077448e-01,0.000000000000000000e+00
1.499832957612599849e+01,2.238524645924002410e-01,0.000000000000000000e+00
1.499801736109417938e+01,2.438754524703370674e-01,0.000000000000000000e+00
1.499767218905302713e+01,2.642516030327802801e-01,0.000000000000000000e+00
1.499729329127920430e+01,2.849454954052177968e-01,0.000000000000000000e+00
1.499688000035656010e+01,3.059252439819600267e-01,0.000000000000000000e+00
1.499643173994648571e+01,3.271621450070755777e-01,0.000000000000000000e+00
1.499594801515186226e+01,3.486303584929625887e-01,0.000000000000000000e+00
1.499542840354174267e+01,3.703066219412149418e-01,0.000000000000000000e+00
1.499487254686873783e+01,3.921699926845706452e-01,0.000000000000000000e+00
1.499428014348516491e+01,4.142016159873095349e-01,0.000000000000000000e+00
1.499365094144548749e+01,4.363845163280722916e-01,0.000000000000000000e+00
1.499298473226962258e+01,4.587034095469297301e-01,0.000000000000000000e+00
1.499228134533309742e+01,4.811445337705250735e-01,0.000000000000000000e+00
1.499154064284462784e+01,5.036954972378518969e-01,0.000000000000000000e+00
1.499076251536895299e+01,5.263451413370515697e-01,0.000000000000000000e+00
1.498994687785151214e+01,5.490834173326175627e-01,0.000000000000000000e+00
1.498909366610200777e+01,5.719012754144741084e-01,0.000000000000000000e+00
1.498820283369492401e+01,5.947905648372501242e-01,0.000000000000000000e+00
1.498727434924711055e+01,6.177439440412205718e-01,0.000000000000000000e+00
1.498630819403458325e+01,6.407547997572208276e-01,0.000000000000000000e+00
1.498530435991342635e+01,6.638171741975765761e-01,0.000000000000000000e+00
1.498426284751212911e+01,6.869256995248606001e-01,0.000000000000000000e+00
1.498318366466543061e+01,7.100755388710675575e-01,0.000000000000000000e+00
1.498206682506232390e+01,7.332623332525093351e-01,0.000000000000000000e+00
1.498091234708338781e+01,7.564821537911686766e-01,0.000000000000000000e+00
1.497972025280494535e+01,7.797314587121415563e-01,0.000000000000000000e+00
1.497849056714990468e+01,8.030070546398101472e-01,0.000000000000000000e+00
1.497722331716708943e+01,8.263060617630932914e-01,0.000000000000000000e+00
1.497591853142286844e+01,8.496258824830595913e-01,0.000000000000000000e+00
1.497457623949065919e+01,8.729641731948410976e-01,0.000000000000000000e+00
1.497319647152546551e+01,8.963188188905674147e-01,0.000000000000000000e+00
1.497177925791205055e+01,9.196879103013477774e-01,0.000000000000000000e+00
1.497032462897677441e+01,9.430697233245124433e-01,0.000000000000000000e+00
1.496883261475414528e+01,9.664627005076862343e-01,0.000000000000000000e+00
1.496730324480036778e+01,9.898654343840930236e-01,0.000000000000000000e+00
1.496573654804704212e+01,1.013276652474047967e+00,0.000000000000000000e+00
1.496413255268901032e+01,1.036695203786075270e+00,0.000000000000000000e+00
1.496249128610116230e+01,1.060120046667744287e+00,0.000000000000000000e+00
1.496081277477961891e+01,1.083550237871300226e+00,0.000000000000000000e+00
1.495909704430340526e+01,1.106984922712643815e+00,0.000000000000000000e+00
1.495734411931310959e+01,1.130423326214360369e+00,0.000000000000000000e+00
1.495555402350363927e+01,1.153864745134420389e+00,0.000000000000000000e+00
1.495372677962848762e+01,1.177308540792001201e+00,0.000000000000000000e+00
1.495186240951334433e+01,1.200754132610746261e+00,0.000000000000000000e+00
1.494996093407714532e+01,1.224200992307719948e+00,0.000000000000000000e+00
1.494802237335899520e+01,1.247648638663511500e+00,0.000000000000000000e+00
1.494604674654958387e+01,1.271096632815375660e+00,0.000000000000000000e+00
1.494403407202594991e+01,1.294544574021118111e+00,0.000000000000000000e+00
1.494198436738861346e+01,1.317992095846650669e+00,0.000000000000000000e+00
1.493989764950030086e+01,1.341438862734859461e+00,0.000000000000000000e+00
1.493777393452551827e+01,1.364884566917654363e+00,0.000000000000000000e+00
1.493561323797050910e+01,1.388328925636883371e+00,0.000000000000000000e+00
1.493341557472304792e+01,1.411771678643225725e+00,0.000000000000000000e+00
1.493118095909175835e+01,1.435212585945266905e+00,0.000000000000000000e+00
1.492890940484464934e+01,1.458651425783736855e+00,0.000000000000000000e+00
1.492660092524661763e+01,1.482087992808393651e+00,0.000000000000000000e+00
1.492425553309574937e+01,1.505522096437285073e+00,0.000000000000000000e+00
1.492187324075830546e+01,1.528953559380152427e+00,0.000000000000000000e+00
1.491945406020226450e+01,1.552382216309557084e+00,0.000000000000000000e+00
